step,time_ms
0,225.88006591796875
1,226.61526489257812
2,227.18771362304688
3,227.2870330810547
4,226.88255310058594
5,226.9890594482422
6,227.0259246826172
7,226.97471618652344
8,226.93991088867188
9,227.31365966796875
