step,time_ms
0,122.95065307617188
1,123.94496154785156
2,128.5877685546875
3,126.66470336914062
4,129.5994873046875
5,127.84844970703125
6,126.53772735595703
7,132.3171844482422
8,127.03539276123047
9,130.22003173828125
