config_id,model_size,num_layers,context_length,batch_size,dtype,checkpoint_block_size,nested,warmup_steps,measurement_steps,step_time_ms_samples,step_time_ms_p50,peak_allocated_mib,peak_reserved_mib,allocator_fraction,allocator_limit_mib,status,error_kind,formal
medium_ctx1024_blocknone,medium,24,1024,1,bf16_autocast_fp32_parameters,none,False,3,5,"[256.653742864728, 255.5780839174986, 255.7416521012783, 255.8213546872139, 266.624154523015]",255.8213546872139,10065.6572265625,10224.0,0.9768130292889415,23552.0,success,,True
medium_ctx1024_block1,medium,24,1024,1,bf16_autocast_fp32_parameters,1,False,3,5,"[407.69344195723534, 413.6356618255377, 407.31871128082275, 408.79414416849613, 406.677532941103]",407.69344195723534,6865.7509765625,7022.0,0.9768130292889415,23552.0,success,,True
medium_ctx1024_block2,medium,24,1024,1,bf16_autocast_fp32_parameters,2,False,3,5,"[404.6100229024887, 400.54270066320896, 400.11948719620705, 400.0132940709591, 400.3944434225559]",400.3944434225559,7004.4697265625,7154.0,0.9768130292889415,23552.0,success,,True
medium_ctx1024_block4,medium,24,1024,1,bf16_autocast_fp32_parameters,4,False,3,5,"[396.61345072090626, 396.0683848708868, 396.0456233471632, 396.5703845024109, 400.0323209911585]",396.5703845024109,7283.3134765625,7368.0,0.9768130292889415,23552.0,success,,True
medium_ctx1024_block8,medium,24,1024,1,bf16_autocast_fp32_parameters,8,False,3,5,"[397.4518943578005, 396.0298039019108, 394.8175273835659, 398.6594248563051, 398.08777533471584]",397.4518943578005,7839.1259765625,7962.0,0.9768130292889415,23552.0,success,,True
medium_ctx2048_blocknone,medium,24,2048,1,bf16_autocast_fp32_parameters,none,False,3,5,"[371.14622443914413, 370.94336934387684, 371.240695938468, 370.97454257309437, 371.078310534358]",371.078310534358,19660.5126953125,20164.0,0.9768130292889415,23552.0,success,,True
medium_ctx2048_block1,medium,24,2048,1,bf16_autocast_fp32_parameters,1,False,3,5,"[479.7550290822983, 480.6404449045658, 480.54766468703747, 479.5019570738077, 479.88456301391125]",479.88456301391125,8063.8017578125,8414.0,0.9768130292889415,23552.0,success,,True
