implementation,sequence_length,head_dim,batch_size,dtype,is_causal,phase,warmup_ms,rep_ms,allocator_limit_mib,cold_start_ms,latency_p20_ms,latency_p50_ms,latency_p80_ms,peak_allocated_mib,peak_reserved_mib,within_24gib,status,error
eager_pytorch,512,64,1,bfloat16,True,forward,100,300,23552,290.9889295697212,0.028672000393271446,0.02876799926161766,0.02953599952161312,265.8828125,278.0,True,success,
eager_pytorch,512,64,1,bfloat16,True,backward,100,300,23552,3.306012600660324,0.03171199932694435,0.03174399957060814,0.03276799991726875,274.875,280.0,True,success,
eager_pytorch,512,64,1,bfloat16,True,forward_backward,100,300,23552,13.804540038108826,0.18040959537029266,0.21857599914073944,0.2803328037261963,274.875,280.0,True,success,
eager_pytorch,512,128,1,bfloat16,True,forward,100,300,23552,1.0901428759098053,0.027648000046610832,0.027648000046610832,0.028543999418616295,274.2578125,280.0,True,success,
eager_pytorch,512,128,1,bfloat16,True,backward,100,300,23552,1.830555498600006,0.03481600061058998,0.03481600061058998,0.035840000957250595,275.25,280.0,True,success,
eager_pytorch,512,128,1,bfloat16,True,forward_backward,100,300,23552,1.802690327167511,0.1792127937078476,0.19660800695419312,0.2396160066127777,275.25,280.0,True,success,
eager_pytorch,2048,64,1,bfloat16,True,forward,100,300,23552,1.7987675964832306,0.08089599758386612,0.08191999793052673,0.08191999793052673,297.28125,318.0,True,success,
eager_pytorch,2048,64,1,bfloat16,True,backward,100,300,23552,5.574788898229599,0.08886399865150452,0.08908800035715103,0.09011200070381165,309.75,320.0,True,success,
eager_pytorch,2048,64,1,bfloat16,True,forward_backward,100,300,23552,2.4568140506744385,0.18726399540901184,0.19968000054359436,0.24473600089550018,309.75,320.0,True,success,
eager_pytorch,2048,128,1,bfloat16,True,forward,100,300,23552,1.6553252935409546,0.0836671993136406,0.08396799862384796,0.08499199897050858,298.28125,320.0,True,success,
eager_pytorch,2048,128,1,bfloat16,True,backward,100,300,23552,3.007683902978897,0.10467199981212616,0.10547199845314026,0.10649599879980087,311.25,322.0,True,success,
eager_pytorch,2048,128,1,bfloat16,True,forward_backward,100,300,23552,2.091437578201294,0.20732799768447877,0.24371199309825897,0.3174399912357331,311.25,322.0,True,success,
eager_pytorch,8192,64,1,bfloat16,True,forward,100,300,23552,2.2374913096427917,1.793023943901062,1.7950719594955444,1.7971199750900269,660.375,666.0,True,success,
eager_pytorch,8192,64,1,bfloat16,True,backward,100,300,23552,6.286256015300751,2.451456069946289,2.4524800777435303,2.453727960586548,854.25,926.0,True,success,
eager_pytorch,8192,64,1,bfloat16,True,forward_backward,100,300,23552,5.735613405704498,4.169727802276611,4.171775817871094,4.1748480796813965,854.25,926.0,True,success,
eager_pytorch,8192,128,1,bfloat16,True,forward,100,300,23552,4.333004355430603,1.8216960430145264,1.824512004852295,1.8268159627914429,664.375,682.0,True,success,
eager_pytorch,8192,128,1,bfloat16,True,backward,100,300,23552,8.322928100824356,2.485350322723389,2.4883201122283936,2.490291213989258,860.25,938.0,True,success,
eager_pytorch,8192,128,1,bfloat16,True,forward_backward,100,300,23552,9.391091763973236,4.244639873504639,4.2485761642456055,4.25164794921875,860.25,938.0,True,success,
