scope,implementation,model_size,sequence_length,head_dim,batch_size,dtype,is_causal,phase,warmup_ms,rep_ms,cold_start_ms,latency_p20_ms,latency_p50_ms,latency_p80_ms,peak_allocated_mib,peak_reserved_mib,allocator_limit_mib,within_24gib,status,error
attention,eager_pytorch,,512,64,1,bfloat16,True,forward,100,300,287.6754514873028,0.028672000393271446,0.028672000393271446,0.028672000393271446,265.8828125,278.0,23552,True,success,
attention,eager_pytorch,,512,64,1,bfloat16,True,backward,100,300,3.281913697719574,0.02969600073993206,0.03174399957060814,0.03276799991726875,274.875,280.0,23552,True,success,
attention,eager_pytorch,,512,64,1,bfloat16,True,forward_backward,100,300,12.41648942232132,0.2242559939622879,0.2773599922657013,0.3614720106124878,274.875,280.0,23552,True,success,
attention,compiled_pytorch,,512,64,1,bfloat16,True,forward,100,300,2142.866153270006,0.013311999849975109,0.014336000196635723,0.014336000196635723,273.0625,278.0,23552,True,success,
attention,compiled_pytorch,,512,64,1,bfloat16,True,backward,100,300,327.13278383016586,0.02252800017595291,0.023552000522613525,0.023552000522613525,273.75,278.0,23552,True,success,
attention,compiled_pytorch,,512,64,1,bfloat16,True,forward_backward,100,300,1.5116482973098755,0.159743994474411,0.24115200340747833,0.3983359932899475,273.625,278.0,23552,True,success,
attention,eager_pytorch,,2048,128,1,bfloat16,True,forward,100,300,2.6302747428417206,0.08396799862384796,0.08499199897050858,0.08499199897050858,298.28125,320.0,23552,True,success,
attention,eager_pytorch,,2048,128,1,bfloat16,True,backward,100,300,3.073185682296753,0.10035199671983719,0.1013759970664978,0.10239999741315842,311.25,322.0,23552,True,success,
attention,eager_pytorch,,2048,128,1,bfloat16,True,forward_backward,100,300,2.2730939090251923,0.20070399343967438,0.2449280023574829,0.4679679870605469,311.25,322.0,23552,True,success,
attention,compiled_pytorch,,2048,128,1,bfloat16,True,forward,100,300,657.9714827239513,0.10547199845314026,0.10547199845314026,0.10649599879980087,282.75,300.0,23552,True,success,
attention,compiled_pytorch,,2048,128,1,bfloat16,True,backward,100,300,995.0120002031326,0.129107204079628,0.130048006772995,0.13100799918174744,291.25,392.0,23552,True,success,
attention,compiled_pytorch,,2048,128,1,bfloat16,True,forward_backward,100,300,2.4536624550819397,0.23449599742889404,0.28169599175453186,0.501145601272583,291.25,302.0,23552,True,success,
attention,eager_pytorch,,8192,128,1,bfloat16,True,forward,100,300,2.329576760530472,1.8176000118255615,1.819648027420044,1.8216960430145264,664.375,682.0,23552,True,success,
attention,eager_pytorch,,8192,128,1,bfloat16,True,backward,100,300,7.9702772200107574,2.4832000732421875,2.486272096633911,2.4883201122283936,860.25,938.0,23552,True,success,
attention,eager_pytorch,,8192,128,1,bfloat16,True,forward_backward,100,300,9.268399327993393,4.245279788970947,4.2485761642456055,4.25267219543457,860.25,938.0,23552,True,success,
attention,compiled_pytorch,,8192,128,1,bfloat16,True,forward,100,300,1.788124442100525,0.707584023475647,0.7096319794654846,0.711679995059967,410.25,424.0,23552,True,success,
attention,compiled_pytorch,,8192,128,1,bfloat16,True,backward,100,300,4.054401069879532,1.1550719738006592,1.1571199893951416,1.159168004989624,540.25,552.0,23552,True,success,
attention,compiled_pytorch,,8192,128,1,bfloat16,True,forward_backward,100,300,3.0940882861614227,1.8165760040283203,1.819648027420044,1.8237440586090088,540.25,552.0,23552,True,success,
transformer,eager_pytorch,small,512,,1,bfloat16,True,forward,100,300,132.76834040880203,12.881919860839844,13.001728057861328,15.991935729980469,1039.4833984375,1080.0,23552,True,success,
transformer,eager_pytorch,small,512,,1,bfloat16,True,forward_backward,100,300,175.54965615272522,50.109848785400395,51.0013427734375,52.9451904296875,1654.1171875,1738.0,23552,True,success,
transformer,eager_pytorch,small,512,,1,bfloat16,True,train_step,100,300,127.92911380529404,51.091864776611324,54.91097640991211,55.5860595703125,2764.01513671875,3108.0,23552,True,success,
transformer,compiled_pytorch,small,512,,1,bfloat16,True,forward,100,300,6959.7659558057785,2.979840040206909,3.1048319339752197,3.6015360355377197,789.6201171875,864.0,23552,True,success,
transformer,compiled_pytorch,small,512,,1,bfloat16,True,forward_backward,100,300,16219.76052224636,12.51700496673584,12.758656024932861,13.356416130065918,1431.99072265625,1574.0,23552,True,success,
transformer,compiled_pytorch,small,512,,1,bfloat16,True,train_step,100,300,43.646249920129776,20.1238525390625,20.130815505981445,20.142285156249997,2748.26513671875,3074.0,23552,True,success,
