model_size,context_length,num_layers,scores_calls,scores_gpu_span_ms,scores_kernel_cumulative_ms,softmax_calls,softmax_gpu_span_ms,softmax_kernel_cumulative_ms,value_calls,value_gpu_span_ms,value_kernel_cumulative_ms,softmax_to_scores,softmax_to_value
medium,256,24,24,0.423122,0.42307400000000006,24,2.265794,1.143299,24,1.2503360000000001,0.782312,2.702361761772172,1.4614361022200861
medium,512,24,24,1.639132,1.6390840000000002,24,11.50085,11.438651,24,2.839563,2.8242190000000007,6.978685046037908,4.050199718931144
medium,1024,24,24,7.7977170000000005,7.797669,24,55.92371,55.86317999999999,24,10.470795,10.455804,7.164087113725909,5.342791429525648
small,256,12,12,0.17515999999999998,0.17513600000000001,12,1.064605,0.45453,12,0.615997,0.36326500000000006,2.595297368901882,1.2512353240747112
small,512,12,12,0.583324,0.5832999999999999,12,2.75473,2.723952,12,1.19213,1.184425,4.669898851362936,2.299809612259113
small,1024,12,12,2.849454,2.84943,12,21.027326000000002,20.997413999999996,12,4.171352,4.164064000000001,7.368987481706866,5.042529125392884
