allocator_fraction,allocator_limit_mib,batch_size,checkpoint_block_size,config_id,context_length,cv,dtype,max_ms,mean_ms,measurement_steps,min_ms,model_size,nested,num_layers,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,status,std_ms,step_time_ms_samples,warmup_steps
0.9768130292889415,23552,1,0,medium_L24_c1024_g0,1024,0.0014609027794256848,bf16,143.94337963312864,143.65964196622372,5,143.38532090187073,medium,False,24,143.48213523626328,143.60785111784935,143.8729314133525,10064.2431640625,10320.0,ok,0.20987277023975498,"[143.85531935840845, 143.38532090187073, 143.60785111784935, 143.5063388198614, 143.94337963312864]",3
0.9768130292889415,23552,1,1,medium_L24_c1024_g1,1024,0.18709857809998315,bf16,330.91183099895716,240.814552269876,5,217.00669638812542,medium,False,24,217.80011095106602,218.64781063050032,241.78873319178822,8116.52783203125,8178.0,ok,45.05606031547787,"[330.91183099895716, 217.99846459180117, 219.50795873999596, 217.00669638812542, 218.64781063050032]",3
0.9768130292889415,23552,1,2,medium_L24_c1024_g2,1024,0.18793769337388522,bf16,301.8959304317832,219.45584639906883,5,197.37807009369135,medium,False,24,197.47114945203066,199.27192572504282,221.37029524892571,8117.46533203125,8202.0,ok,41.24402556965465,"[197.37807009369135, 197.4944192916155, 301.8959304317832, 199.27192572504282, 201.2388864532113]",3
0.9768130292889415,23552,1,4,medium_L24_c1024_g4,1024,0.1909384316247264,bf16,299.204726703465,216.60788301378489,5,193.5443002730608,medium,False,24,194.22679878771305,195.8522815257311,219.87349186092618,8117.46533203125,8220.0,ok,41.3587694602043,"[193.5443002730608, 194.3974234163761, 299.204726703465, 200.04068315029144, 195.8522815257311]",3
0.9768130292889415,23552,1,8,medium_L24_c1024_g8,1024,0.19590761126111683,bf16,308.44580102711916,221.66250981390476,5,198.39658588171005,medium,False,24,198.6355297267437,199.5816770941019,224.24373570829633,8117.46533203125,8178.0,ok,43.42537280378595,"[198.39658588171005, 308.44580102711916, 199.5816770941019, 203.19321937859058, 198.6952656880021]",3
0.9768130292889415,23552,1,0,medium_L24_c2048_g0,2048,0.0003370059303998129,bf16,380.09213749319315,379.921237193048,5,379.7777993604541,medium,False,24,379.8083549365401,379.8650400713086,380.06259966641665,19661.5595703125,20048.0,ok,0.12803571001889114,"[379.8650400713086, 379.81599383056164, 380.0552152097225, 380.09213749319315, 379.7777993604541]",3
0.9768130292889415,23552,1,1,medium_L24_c2048_g1,2048,0.04729579131380095,bf16,542.1386519446969,495.28863932937384,5,483.4785209968686,medium,False,24,483.5667656734586,483.5942564532161,495.3420827165246,8136.78564453125,9690.0,ok,23.425068125818488,"[542.1386519446969, 483.6429404094815, 483.58882684260607, 483.4785209968686, 483.5942564532161]",3
0.9768130292889415,23552,1,2,medium_L24_c2048_g2,2048,0.06589328533250417,bf16,567.8359298035502,501.71646755188704,5,485.12804973870516,medium,False,24,485.1770581677556,485.21011415869,501.7423329874873,8568.2939453125,9948.0,ok,33.05974635241257,"[485.12804973870516, 485.1893102750182, 567.8359298035502, 485.2189337834716, 485.21011415869]",3
0.9768130292889415,23552,1,4,medium_L24_c2048_g4,2048,0.04184944705715421,bf16,537.8606393933296,496.3195417076349,5,485.7946131378412,medium,False,24,485.90030781924725,485.9895845875144,496.39303982257843,9575.1845703125,10476.0,ok,20.77069838412471,"[486.02613992989063, 485.92673148959875, 537.8606393933296, 485.7946131378412, 485.9895845875144]",3
0.9768130292889415,23552,1,8,medium_L24_c2048_g8,2048,0.046932927648027985,bf16,545.0713001191616,498.2982845976949,5,486.50492914021015,medium,False,24,486.57141365110874,486.6200825199485,498.3799211680889,11594.2470703125,11942.0,ok,23.386597338160072,"[486.50492914021015, 545.0713001191616, 486.70707643032074, 486.5880347788334, 486.6200825199485]",3
