batch_size,block_size,checkpoint_block_size,config_id,context_length,cv,dtype,kind,mean_seconds,measurement_steps,memory_active_peak_bytes,memory_allocated_peak_bytes,memory_current_allocated_bytes,memory_current_reserved_bytes,memory_requested_peak_bytes,memory_reserved_peak_bytes,metadata_cuda,metadata_device,metadata_device_name,metadata_memory_total_mib,metadata_tf32,metadata_torch,metadata_triton,model_size,nested,p20_seconds,p50_seconds,p50_step_time_ms,p80_seconds,peak_allocated_mib,peak_reserved_mib,raw_seconds,sample_stdev_seconds,seed,source,status,step_time_ms_samples,steps,warmup,warmup_steps
1,0,0,medium_L1024_b0,1024,0.00612259001284946,bfloat16,checkpoint,0.2094635716639459,8,10559783936,10559783936,6796115968,10741612544,10551558152,10741612544,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,medium,false,0.20878282375633717,0.20906119979918003,209.24038626253605,0.20934823527932167,10070.5947265625,10244.0,"[0.20875702612102032, 0.20875277742743492, 0.21257401257753372, 0.20937950164079666, 0.20924038626253605, 0.208882013335824, 0.20882152020931244, 0.20930133573710918]",0.0012824595719254524,0,checkpoint/medium-1024-block-0.json,ok,"[208.75702612102032, 208.75277742743492, 212.57401257753372, 209.37950164079666, 209.24038626253605, 208.882013335824, 208.82152020931244, 209.30133573710918]",8,3,3
1,1,1,medium_L1024_b1,1024,0.15256902348688467,bfloat16,checkpoint,0.27160925162024796,8,8516342272,8516342272,6796476416,8575254528,8505659396,8575254528,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,medium,false,0.2564266938716173,0.25659140944480896,256.6637322306633,0.2586780276149511,8121.81689453125,8178.0,"[0.2559440825134516, 0.25988336466252804, 0.2568700220435858, 0.2563889566808939, 0.25648329965770245, 0.2565190866589546, 0.374121468514204, 0.2566637322306633]",0.04143915828970478,0,checkpoint/medium-1024-block-1.json,ok,"[255.94408251345158, 259.88336466252804, 256.8700220435858, 256.3889566808939, 256.48329965770245, 256.5190866589546, 374.121468514204, 256.6637322306633]",8,3,3
1,2,2,medium_L1024_b2,1024,0.15235423253085303,bfloat16,checkpoint,0.2714701914228499,8,8515981824,8515981824,6796115968,8579448832,8505659396,8579448832,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,medium,false,0.2563937846571207,0.2569549772888422,257.00944289565086,0.2575135830789804,8121.47314453125,8182.0,"[0.2563056629151106, 0.2577247004956007, 0.25719690695405006, 0.25690051168203354, 0.25643453747034073, 0.256366616114974, 0.25700944289565086, 0.37382315285503864]",0.04135963266923206,0,checkpoint/medium-1024-block-2.json,ok,"[256.3056629151106, 257.7247004956007, 257.19690695405006, 256.90051168203354, 256.43453747034073, 256.366616114974, 257.00944289565086, 373.82315285503864]",8,3,3
1,4,4,medium_L1024_b4,1024,0.0029108156575775694,bfloat16,checkpoint,0.253583645215258,8,8516342272,8516342272,6797459456,8585740288,8505659396,8585740288,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,medium,false,0.2529403269290924,0.2533760890364647,253.39497439563274,0.25421447642147543,8121.81689453125,8188.0,"[0.25280569680035114, 0.2548285350203514, 0.2539820484817028, 0.25309219025075436, 0.2528390847146511, 0.25335720367729664, 0.2543694283813238, 0.25339497439563274]",0.0007381352449981682,0,checkpoint/medium-1024-block-4.json,ok,"[252.80569680035114, 254.8285350203514, 253.9820484817028, 253.09219025075436, 252.8390847146511, 253.35720367729664, 254.36942838132381, 253.39497439563274]",8,3,3
1,8,8,medium_L1024_b8,1024,0.003834147049278342,bfloat16,checkpoint,0.24490195396356285,8,8514998784,8514998784,6795132928,8566865920,8505659396,8566865920,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,medium,false,0.24413664117455483,0.2446490228176117,244.83873136341572,0.24581556990742684,8120.53564453125,8170.0,"[0.24445931427180767, 0.24620110169053078, 0.24626845866441727, 0.24523727223277092, 0.2438305038958788, 0.24392270669341087, 0.24483873136341572, 0.24445754289627075]",0.0009389901041518948,0,checkpoint/medium-1024-block-8.json,ok,"[244.45931427180767, 246.20110169053078, 246.26845866441727, 245.23727223277092, 243.8305038958788, 243.92270669341087, 244.83873136341572, 244.45754289627075]",8,3,3
1,0,0,medium_L2048_b0,2048,0.0010134632047876016,bfloat16,checkpoint,0.5072880368679762,5,20623799296,20623799296,6791839744,21172846592,20620488712,21172846592,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,medium,false,0.5069407347589732,0.5071582403033972,507.1582403033972,0.5077173475176096,19668.3876953125,20192.0,"[0.5076596308499575, 0.5071582403033972, 0.506664240732789, 0.5079482141882181, 0.5070098582655191]",0.0005141177595946302,0,checkpoint/medium-2048-block-0.json,ok,"[507.65963084995747, 507.1582403033972, 506.66424073278904, 507.9482141882181, 507.00985826551914]",5,2,2
1,1,1,medium_L2048_b1,2048,0.001484253718196136,bfloat16,checkpoint,0.643528065085411,5,8540934656,8540934656,6795902976,9904848896,8530612228,9904848896,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,medium,false,0.6428475007414818,0.6435559447854757,643.5559447854757,0.6440744500607252,8145.27001953125,9446.0,"[0.6448866557329893, 0.6423559337854385, 0.6438713986426592, 0.6435559447854757, 0.6429703924804926]",0.0009551589233665864,0,checkpoint/medium-2048-block-1.json,ok,"[644.8866557329893, 642.3559337854385, 643.8713986426592, 643.5559447854757, 642.9703924804926]",5,2,2
