batch_size,causal,compile,context_length,cv,dimension,dtype,implementation,kind,mean_seconds,memory_active_peak_bytes,memory_allocated_peak_bytes,memory_current_allocated_bytes,memory_current_reserved_bytes,memory_requested_peak_bytes,memory_reserved_peak_bytes,metadata_cuda,metadata_device,metadata_device_name,metadata_memory_total_mib,metadata_tf32,metadata_torch,metadata_triton,mode,model_size,p20_seconds,p50_seconds,p80_seconds,phase,raw_seconds,sample_stdev_seconds,seed,sequence_length,source,status,steps,warmup
1,True,,,0.03418965388149486,128,bfloat16,compiled,attention,0.00048750732094049454,35784704,35784704,3671552,58720256,35782680,58720256,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.0004883632063865662,0.0004913061857223511,0.0004937481135129929,backward,"[0.0004989355802536011, 0.00046160444617271423, 0.00045590102672576904, 0.0004913676530122757, 0.0005121584981679916, 0.0004915371537208557, 0.0004937481135129929, 0.0004883632063865662, 0.0004912447184324265, 0.0004902128130197525]",1.6667706567650337e-05,0,2048,attention/core-compiled-2048-128-backward.json,ok,10,5
1,True,,,0.010934580027208336,128,bfloat16,compiled,attention,0.00021763928234577178,24773632,24773632,1573888,48234496,24772624,48234496,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.00021530501544475555,0.0002179071307182312,0.0002193491905927658,forward,"[0.0002193152904510498, 0.00021948479115962982, 0.0002181604504585266, 0.000218220055103302, 0.00022228620946407318, 0.00021610036492347717, 0.0002176538109779358, 0.00021502934396266937, 0.0002153739333152771, 0.00021476857364177704]",2.379794149874032e-06,0,2048,attention/core-compiled-2048-128-forward.json,ok,10,5
1,True,,,0.11740737860555633,128,bfloat16,compiled,attention,0.0010529020801186562,34736128,34736128,2098176,56623104,34734104,56623104,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.0010601159185171128,0.0011051250621676445,0.0011135902255773543,forward_backward,"[0.0007527843117713928, 0.0011118371039628983, 0.0009046401828527451, 0.0011072233319282532, 0.0011026076972484589, 0.0011175479739904404, 0.001112600788474083, 0.0010989848524332047, 0.0011177677661180496, 0.0011030267924070358]",0.00012361847315506887,0,2048,attention/core-compiled-2048-128-forward_backward.json,ok,10,5
1,True,,,0.049585675951852,64,bfloat16,compiled,attention,0.0005178945139050484,32638976,32638976,1836544,52428800,32636952,52428800,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.0004881173372268677,0.0005285302177071571,0.0005373042076826096,backward,"[0.0004881173372268677, 0.00048221834003925323, 0.00047498755156993866, 0.0005291271954774857, 0.0005388390272855759, 0.0005373042076826096, 0.0005342159420251846, 0.0005421433597803116, 0.0005279332399368286, 0.0005240589380264282]",2.568014954373764e-05,0,2048,attention/core-compiled-2048-64-backward.json,ok,10,5
1,True,,,0.018845362752859685,64,bfloat16,compiled,attention,0.00019334256649017334,22938624,22938624,787456,48234496,22937616,48234496,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.00019029900431632996,0.000192311592400074,0.00019577816128730775,forward,"[0.00019860640168190002, 0.00019507110118865967, 0.00019335374236106873, 0.00019286759197711945, 0.0001903250813484192, 0.0002003442496061325, 0.00019175559282302856, 0.0001912638545036316, 0.00018964335322380066, 0.00019019469618797302]",3.6436108010762095e-06,0,2048,attention/core-compiled-2048-64-forward.json,ok,10,5
1,True,,,0.03404565576241805,64,bfloat16,compiled,attention,0.0007852848619222641,32114688,32114688,1049600,50331648,32112664,50331648,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.0007751781493425369,0.0007910570129752159,0.0007996827363967896,forward_backward,"[0.0007369592785835266, 0.00074036605656147, 0.000799037516117096, 0.0007904507219791412, 0.0008219853043556213, 0.000802263617515564, 0.0007916633039712906, 0.0007874835282564163, 0.0007838811725378036, 0.0007987581193447113]",2.6735538084443394e-05,0,2048,attention/core-compiled-2048-64-forward_backward.json,ok,10,5
1,True,,,0.07225082291095863,128,bfloat16,compiled,attention,0.0004309985786676407,11405312,11405312,919040,29360128,11403288,29360128,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.0004325602203607559,0.0004373714327812195,0.0004441477358341217,backward,"[0.00034606829285621643, 0.0004441477358341217, 0.00043842941522598267, 0.00044496171176433563, 0.0004363134503364563, 0.0004345923662185669, 0.0004622824490070343, 0.0004392843693494797, 0.00043134577572345734, 0.0004325602203607559]",3.114000198219058e-05,0,512,attention/core-compiled-512-128-backward.json,ok,10,5
1,True,,,0.05566723024289567,128,bfloat16,compiled,attention,0.00018270928412675858,10224640,10224640,394240,27262976,10223632,27262976,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.00017677731812000276,0.00017912965267896652,0.00018412508070468902,forward,"[0.0001941639930009842, 0.0002071969211101532, 0.0001807883381843567, 0.00017942674458026886, 0.00017573870718479156, 0.00017501041293144226, 0.00018161535263061523, 0.00017703697085380554, 0.00017883256077766418, 0.00017728284001350403]",1.0170919786998913e-05,0,512,attention/core-compiled-512-128-forward.json,ok,10,5
1,True,,,0.10416026297204452,128,bfloat16,compiled,attention,0.0008551139384508133,11143168,11143168,525312,27262976,11141144,27262976,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.0008135396987199783,0.0008252570405602455,0.0008408784866333008,forward_backward,"[0.0011031199246644974, 0.0008757635951042175, 0.0008258987218141556, 0.0008246153593063354, 0.0008286535739898682, 0.0008121822029352188, 0.0008234474807977676, 0.0008114222437143326, 0.0008321572095155716, 0.0008138790726661682]",8.90688927000974e-05,0,512,attention/core-compiled-512-128-forward_backward.json,ok,10,5
1,True,,,0.050137198241254975,64,bfloat16,compiled,attention,0.0004522111266851425,10618880,10618880,460288,27262976,10616856,27262976,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.00044088251888751984,0.0004439838230609894,0.00045353546738624573,backward,"[0.00045541301369667053, 0.0005143284797668457, 0.00045353546738624573, 0.0004440341144800186, 0.00044088251888751984, 0.00044393353164196014, 0.00045135989785194397, 0.0004411041736602783, 0.00044051744043827057, 0.00043700262904167175]",2.267259890551426e-05,0,512,attention/core-compiled-512-64-backward.json,ok,10,5
