config_id,model_size,num_layers,context_length,batch_size,dtype,checkpoint_block_size,nested,warmup_steps,measurement_steps,step_time_ms_samples,step_time_ms_p50,peak_allocated_mib,peak_reserved_mib,status,error_type,error_message
medium_s1024_ckptnone,medium,24,1024,1,bf16_autocast,,False,3,5,"[192.7038822323084, 184.95204113423824, 182.63745587319136, 189.443769864738, 179.42184396088123]",184.95204113423824,10114.0009765625,10272.0,success,,
medium_s1024_ckpt1,medium,24,1024,1,bf16_autocast,1,False,3,5,"[273.54853600263596, 270.72308864444494, 280.63367307186127, 264.6285993978381, 273.95453583449125]",273.54853600263596,6914.0947265625,7046.0,success,,
medium_s1024_ckpt2,medium,24,1024,1,bf16_autocast,2,False,3,5,"[271.7214096337557, 271.703296341002, 262.53035198897123, 267.2337954863906, 272.709202952683]",271.703296341002,7053.7509765625,7206.0,success,,
medium_s1024_ckpt4,medium,24,1024,1,bf16_autocast,4,False,3,5,"[254.65440191328526, 250.65901409834623, 261.29568554461, 261.5290731191635, 255.917233414948]",255.917233414948,7332.5947265625,7400.0,success,,
medium_s1024_ckpt8,medium,24,1024,1,bf16_autocast,8,False,3,5,"[254.48516011238098, 269.1538194194436, 262.2402375563979, 261.1161284148693, 253.43416817486286]",261.1161284148693,7888.8759765625,8006.0,success,,
medium_s2048_ckptnone,medium,24,2048,1,bf16_autocast,,False,3,5,"[376.4005936682224, 375.6152195855975, 375.69345999509096, 376.1711325496435, 377.90999468415976]",376.1711325496435,19712.6064453125,20192.0,success,,
medium_s2048_ckpt1,medium,24,2048,1,bf16_autocast,1,False,3,5,"[481.3369866460562, 480.5089943110943, 480.03438394516706, 480.32462410628796, 481.9589639082551]",480.5089943110943,8111.8017578125,8666.0,success,,
