scope,implementation,model_size,batch_size,context_length,seq_len,head_dim,dtype,causal,mode,phase,warmup_steps,measurement_steps,warmup_ms,measurement_ms,cold_start_ms,samples_ms,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,status,error_type,error_message
attention,torch_compiled,,1,,2048,128,bf16,True,,backward,,,100,300,194.2531829699874,,0.26419198513031006,0.2672640085220337,0.2848767936229706,86.5,348.0,success,,
attention,torch_compiled,,1,,2048,128,bf16,True,,forward,,,100,300,1689.1123997047544,,0.041996799409389496,0.043007999658584595,0.04505600035190582,44.5,314.0,success,,
attention,torch_compiled,,1,,2048,128,bf16,True,,forward_backward,,,100,300,1198.6418310552835,,0.5734400153160095,0.5877760052680969,0.6285311937332154,86.5,348.0,success,,
attention,torch_compiled,,1,,512,64,bf16,True,,backward,,,100,300,338.0651529878378,,0.26214399933815,0.2693119943141937,0.28569599986076355,65.8125,322.0,success,,
attention,torch_compiled,,1,,512,64,bf16,True,,forward,,,100,300,1936.456611379981,,0.013311999849975109,0.014336000196635723,0.014336000196635723,33.0625,290.0,success,,
attention,torch_compiled,,1,,512,64,bf16,True,,forward_backward,,,100,300,1260.594554245472,,2.181734323501587,2.338815927505493,2.3568384647369385,65.8125,322.0,success,,
attention,torch_compiled,,1,,8192,128,bf16,True,,backward,,,100,300,282.0274978876114,,1.1018240451812744,1.1038719415664673,1.1059199571609497,346.0,618.0,success,,
attention,torch_compiled,,1,,8192,128,bf16,True,,forward,,,100,300,1699.2153702303767,,0.609279990196228,0.6113280057907104,0.6133760213851929,178.0,438.0,success,,
attention,torch_compiled,,1,,8192,128,bf16,True,,forward_backward,,,100,300,1190.3669377788901,,1.6424959897994995,1.6450560092926025,1.6537599563598633,346.0,598.0,success,,
attention,torch_eager,,1,,2048,128,bf16,True,,backward,,,100,300,,,0.29286399483680725,0.29900801181793213,0.32256001234054565,106.5,370.0,success,,
attention,torch_eager,,1,,2048,128,bf16,True,,forward,,,100,300,,,0.07782399654388428,0.07884799689054489,0.08191999793052673,56.515625,314.0,success,,
attention,torch_eager,,1,,2048,128,bf16,True,,forward_backward,,,100,300,,,0.6287360191345215,0.6686720252037048,0.7026687860488892,106.5,370.0,success,,
attention,torch_eager,,1,,512,64,bf16,True,,backward,,,100,300,,,0.2836480140686035,0.289792001247406,0.3149823904037476,67.0625,324.0,success,,
attention,torch_eager,,1,,512,64,bf16,True,,forward,,,100,300,,,0.02457600086927414,0.025599999353289604,0.027686400339007378,33.81640625,290.0,success,,
attention,torch_eager,,1,,512,64,bf16,True,,forward_backward,,,100,300,,,0.6359360218048096,0.652288019657135,0.6912000179290771,67.0625,324.0,success,,
attention,torch_eager,,1,,8192,128,bf16,True,,backward,,,100,300,,,2.1626880168914795,2.164736032485962,2.1667840480804443,666.0,950.0,success,,
attention,torch_eager,,1,,8192,128,bf16,True,,forward,,,100,300,,,1.3578239679336548,1.3608959913253784,1.371135950088501,370.0625,694.0,success,,
attention,torch_eager,,1,,8192,128,bf16,True,,forward_backward,,,100,300,,,3.443711996078491,3.4488160610198975,3.4693119525909424,666.0,950.0,success,,
small_model,torch_compiled,small,1,512,,,bf16_autocast,,forward,,5,10,,,11994.680654257536,"[9.055639617145061, 9.486779570579529, 8.881465531885624, 8.386744186282158, 8.622758090496063, 8.363639004528522, 8.619165979325771, 8.41076672077179, 8.337190374732018, 8.303365670144558]",8.358349278569221,8.51496635004878,8.916300348937511,550.7060546875,692.0,success,,
small_model,torch_compiled,small,1,512,,,bf16_autocast,,forward_backward,,5,10,,,23610.706045292318,"[49.95524697005749, 54.432980716228485, 48.56912884861231, 46.71976715326309, 50.75594782829285, 48.50789159536362, 45.1050978153944, 47.03465476632118, 51.85094475746155, 45.403934083878994]",46.45660053938627,48.53851022198796,50.97494721412659,1221.23291015625,1446.0,success,,
small_model,torch_compiled,small,1,512,,,bf16_autocast,,train_step,,5,10,,,13268.023882061243,"[45.203302055597305, 45.069677755236626, 45.05852144211531, 44.90688443183899, 44.64334808290005, 45.06585467606783, 45.297455973923206, 45.66242452710867, 45.88021989911795, 45.94142735004425]",45.02819404006004,45.136489905416965,45.705983601510525,2231.53564453125,2608.0,success,,
small_model,torch_eager,small,1,512,,,bf16_autocast,,forward,,5,10,,,,"[22.13326282799244, 22.10112940520048, 22.295118309557438, 22.23722729831934, 22.363068535923958, 22.128678858280182, 22.13392872363329, 22.223017178475857, 22.301331162452698, 22.12605532258749]",22.128154151141644,22.178472951054573,22.29636088013649,799.7333984375,836.0,success,,
small_model,torch_eager,small,1,512,,,bf16_autocast,,forward_backward,,5,10,,,,"[91.37219283729792, 78.79097852855921, 81.2280522659421, 74.62103012949228, 84.91128496825695, 78.23427952826023, 89.943652972579, 74.81575012207031, 80.62223996967077, 81.52243960648775]",77.55057364702225,80.92514611780643,85.91775856912136,1445.2421875,1556.0,success,,
small_model,torch_eager,small,1,512,,,bf16_autocast,,train_step,,5,10,,,,"[101.27988364547491, 100.42400751262903, 114.77694939821959, 105.97066953778267, 106.10981658101082, 90.82532022148371, 105.02264089882374, 93.9352409914136, 92.80340746045113, 99.37807451933622]",93.7088742852211,100.85194557905197,105.9984989464283,2468.138671875,2636.0,success,,
