config_id,sequence_length,head_dim,batch_size,dtype,is_causal,implementation,forward_ms_p20,forward_ms_p50,forward_ms_p80,backward_ms_p20,backward_ms_p50,backward_ms_p80,forward_backward_ms_p20,forward_backward_ms_p50,forward_backward_ms_p80,warmup_ms,measurement_ms,quantiles,timer,peak_allocated_mib,peak_reserved_mib,status,error
attention_eager_s512_d64,512,64,1,bfloat16,True,explicit_pytorch_eager,0.033504001796245575,0.03481600061058998,0.035840000957250595,0.2006399929523468,0.20556800067424774,0.2539840042591095,0.49561598896980286,0.5888000130653381,0.6062080264091492,100,300,"[0.2, 0.5, 0.8]",triton.testing.do_bench,19.8798828125,26.0,success,
attention_eager_s512_d128,512,128,1,bfloat16,True,explicit_pytorch_eager,0.03674880042672157,0.03686400130391121,0.03686400130391121,0.18445440232753754,0.18943999707698822,0.2027519941329956,0.4782080054283142,0.6021119952201843,0.6170623898506165,100,300,"[0.2, 0.5, 0.8]",triton.testing.do_bench,20.2548828125,26.0,success,
attention_eager_s2048_d64,2048,64,1,bfloat16,True,explicit_pytorch_eager,0.1013759970664978,0.10239999741315842,0.10342399775981903,0.19164800643920898,0.1945600062608719,0.20070399343967438,0.4566271901130676,0.47516800463199615,0.5760640025138855,100,300,"[0.2, 0.5, 0.8]",triton.testing.do_bench,69.76953125,84.0,success,
attention_eager_s2048_d128,2048,128,1,bfloat16,True,explicit_pytorch_eager,0.10444799810647964,0.1085439994931221,0.10956799983978271,0.1963520050048828,0.19660800695419312,0.19763199985027313,0.4423680007457733,0.44736000895500183,0.4556800127029419,100,300,"[0.2, 0.5, 0.8]",triton.testing.do_bench,71.26953125,86.0,success,
attention_eager_s8192_d64,8192,64,1,bfloat16,True,explicit_pytorch_eager,2.1885440349578857,2.190335988998413,2.1975040435791016,4.833280086517334,4.835328102111816,4.837747287750244,6.942624092102051,6.944767951965332,6.947807788848877,100,300,"[0.2, 0.5, 0.8]",triton.testing.do_bench,854.328125,862.0,success,
attention_eager_s8192_d128,8192,128,1,bfloat16,True,explicit_pytorch_eager,2.213887929916382,2.2220799922943115,2.225152015686035,4.875276947021485,4.87827205657959,4.879360198974609,7.020544052124023,7.023615837097168,7.026688098907471,100,300,"[0.2, 0.5, 0.8]",triton.testing.do_bench,860.328125,982.0,success,
