Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.9,945303339,10352,91316.0,5956.0,3699,105637225,1361804.3,cudaLaunchKernel
9.6,133706501,268,498904.9,12786.0,4856,6386068,859110.7,cudaMemcpyAsync
7.7,106821170,1476,72372.1,5885.0,2453,623152,138632.5,cudaMemsetAsync
7.3,101411647,1,101411647.0,101411647.0,101411647,101411647,0.0,cudaDeviceSynchronize
4.6,63404432,948,66882.3,5689.5,3887,643339,129679.5,cuLaunchKernel
1.2,16802436,4,4200609.0,5324702.5,426952,5726079,2523471.3,cuLibraryLoadData
1.0,13700385,105,130479.9,126020.0,3957,321284,39804.6,cudaMalloc
0.3,4584012,112,40928.7,24971.0,3055,88952,33908.7,cudaStreamSynchronize
0.3,3823563,948,4033.3,444.5,244,3044542,99090.8,cuKernelGetFunction
0.1,1574118,2,787059.0,787059.0,2867,1571251,1109015.0,cudaFree
0.0,272665,38,7175.4,917.5,299,143235,27272.6,cudaEventCreateWithFlags
0.0,137882,810,170.2,129.5,77,1611,117.8,cuGetProcAddress_v2
0.0,121306,103,1177.7,1007.0,273,7073,740.3,cudaStreamIsCapturing_v10000
0.0,19669,2,9834.5,9834.5,9274,10395,792.7,cudaEventRecord
0.0,6619,7,945.6,651.0,500,2135,586.7,cuLibraryGetKernel
0.0,3837,3,1279.0,1291.0,1057,1489,216.2,cuInit
0.0,1952,2,976.0,976.0,587,1365,550.1,cudaEventDestroy
0.0,1235,3,411.7,131.0,129,975,487.9,cuModuleGetLoadingMode
0.0,1059,2,529.5,529.5,384,675,205.8,cudaGetDriverEntryPoint_v11030
