Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.2,931845149,328,2840991.3,1352458.5,5300,10746284,2868622.2,cudaMemcpyAsync
14.2,185545701,814,227943.1,8208.0,3776,27119980,1789041.9,cudaLaunchKernel
8.6,111935191,4,27983797.8,1073867.5,247555,109539901,54376307.7,cudaFree
3.2,42386970,252,168202.3,125303.0,3542,8132396,504832.3,cudaMalloc
1.4,18565478,4,4641369.5,5697162.5,1120884,6050269,2354282.3,cuLibraryLoadData
1.3,17080598,328,52075.0,55147.0,3556,88861,31858.1,cudaStreamSynchronize
0.0,630635,78,8085.1,8227.5,4312,14432,1740.7,cudaMemsetAsync
0.0,316261,253,1250.0,1160.0,289,16870,1083.2,cudaStreamIsCapturing_v10000
0.0,127123,810,156.9,123.0,69,1419,100.6,cuGetProcAddress_v2
0.0,34848,1,34848.0,34848.0,34848,34848,0.0,cudaMemGetInfo
0.0,12669,18,703.8,294.0,274,5800,1319.7,cudaEventCreateWithFlags
0.0,4086,3,1362.0,1397.0,1067,1622,279.2,cuInit
0.0,2157,4,539.3,549.0,474,585,46.7,cuLibraryGetKernel
0.0,1512,3,504.0,143.0,133,1236,634.0,cuModuleGetLoadingMode
0.0,1166,2,583.0,583.0,231,935,497.8,cudaGetDriverEntryPoint_v11030
