Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.4,465072206,21854,21280.9,5135.0,3329,64532800,631759.6,cudaLaunchKernel
17.1,108673788,268,405499.2,12387.0,4541,6336591,827303.3,cudaMemcpyAsync
3.8,24331018,212,114769.0,106718.5,2991,447729,46743.4,cudaMalloc
2.6,16725792,4,4181448.0,5313679.0,426018,5672416,2509967.0,cuLibraryLoadData
1.0,6264944,1242,5044.2,5065.5,2808,21166,1673.1,cudaMemsetAsync
0.9,6003834,112,53605.7,55282.5,3556,89070,31140.8,cudaStreamSynchronize
0.4,2849054,300,9496.8,584.0,338,2428458,140625.6,cuKernelGetFunction
0.3,1876257,300,6254.2,5588.0,4126,25324,2318.1,cuLaunchKernel
0.2,1572003,2,786001.5,786001.5,3544,1568459,1106562.0,cudaFree
0.0,233623,210,1112.5,1058.5,275,8094,598.2,cudaStreamIsCapturing_v10000
0.0,129525,810,159.9,122.0,69,1806,112.8,cuGetProcAddress_v2
0.0,55480,38,1460.0,916.0,279,14324,2576.2,cudaEventCreateWithFlags
0.0,11478,2,5739.0,5739.0,5130,6348,861.3,cudaEventRecord
0.0,8241,1,8241.0,8241.0,8241,8241,0.0,cudaDeviceSynchronize
0.0,5585,6,930.8,566.5,457,2031,653.4,cuLibraryGetKernel
0.0,3842,3,1280.7,1189.0,1116,1537,225.0,cuInit
0.0,2032,2,1016.0,1016.0,560,1472,644.9,cudaEventDestroy
0.0,1355,2,677.5,677.5,313,1042,515.5,cudaGetDriverEntryPoint_v11030
0.0,1056,3,352.0,129.0,128,799,387.1,cuModuleGetLoadingMode
