Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.7,1038898593,772,1345723.6,11447.0,5283,10576670,2594411.7,cudaMemcpyAsync
36.4,716530016,62390,11484.7,4921.0,3744,61871806,360136.7,cudaLaunchKernel
6.3,123331435,857,143910.7,138767.0,5247,608677,37283.2,cudaMalloc
1.2,24386211,4338,5621.5,4951.0,2879,215260,8795.8,cudaMemsetAsync
0.9,18700968,4,4675242.0,5696863.5,1126871,6180370,2379852.6,cuLibraryLoadData
0.8,16348824,328,49844.0,54400.5,3491,88711,32588.2,cudaStreamSynchronize
0.6,12724312,1,12724312.0,12724312.0,12724312,12724312,0.0,cudaDeviceSynchronize
0.6,12281236,2172,5654.3,5255.0,3932,55978,2555.5,cuLaunchKernel
0.2,3784816,2172,1742.5,434.0,235,2441146,52584.0,cuKernelGetFunction
0.1,1946634,2,973317.0,973317.0,2647,1943987,1372734.7,cudaFree
0.0,856147,855,1001.3,976.0,273,7286,381.5,cudaStreamIsCapturing_v10000
0.0,133749,810,165.1,130.0,74,1632,107.8,cuGetProcAddress_v2
0.0,49164,38,1293.8,921.5,275,7418,1663.1,cudaEventCreateWithFlags
0.0,16465,2,8232.5,8232.5,7721,8744,723.4,cudaEventRecord
0.0,7803,7,1114.7,777.0,638,2229,581.9,cuLibraryGetKernel
0.0,4378,3,1459.3,1268.0,1241,1869,355.0,cuInit
0.0,2208,2,1104.0,1104.0,529,1679,813.2,cudaEventDestroy
0.0,1382,3,460.7,146.0,136,1100,553.7,cuModuleGetLoadingMode
0.0,949,2,474.5,474.5,302,647,244.0,cudaGetDriverEntryPoint_v11030
