Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
57.6,990249704,772,1282706.9,11352.5,5266,11686703,2473874.0,cudaMemcpyAsync
30.6,526523928,30998,16985.7,5147.0,3446,61322461,502468.0,cudaLaunchKernel
5.1,87702300,626,140099.5,135350.5,3643,598280,32537.7,cudaMalloc
1.8,30193006,4338,6960.1,4821.0,2643,218352,18420.5,cudaMemsetAsync
1.7,29129079,1,29129079.0,29129079.0,29129079,29129079,0.0,cudaDeviceSynchronize
1.1,18778074,4,4694518.5,5794455.5,1107048,6082115,2395490.0,cuLibraryLoadData
1.0,16659435,328,50791.0,54566.0,3032,89252,32264.1,cudaStreamSynchronize
0.7,11874904,2172,5467.3,5229.0,3744,100433,2669.9,cuLaunchKernel
0.2,3962197,2172,1824.2,529.0,254,2452290,52861.8,cuKernelGetFunction
0.1,1943531,2,971765.5,971765.5,3186,1940345,1369778.3,cudaFree
0.0,693169,624,1110.8,1049.0,301,8321,481.5,cudaStreamIsCapturing_v10000
0.0,131214,810,162.0,128.0,71,1476,101.6,cuGetProcAddress_v2
0.0,52367,38,1378.1,916.0,271,10094,1942.0,cudaEventCreateWithFlags
0.0,27355,2,13677.5,13677.5,9478,17877,5939.0,cudaEventRecord
0.0,7302,7,1043.1,921.0,532,2169,584.7,cuLibraryGetKernel
0.0,3755,3,1251.7,1151.0,970,1634,343.3,cuInit
0.0,1914,2,957.0,957.0,499,1415,647.7,cudaEventDestroy
0.0,1549,3,516.3,146.0,129,1274,656.2,cuModuleGetLoadingMode
0.0,1541,2,770.5,770.5,734,807,51.6,cudaGetDriverEntryPoint_v11030
