Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.5,406472824,10982,37012.6,5966.0,3897,66071879,910368.7,cudaLaunchKernel
21.5,129124811,268,481809.0,12356.5,4967,6272058,850439.9,cudaMemcpyAsync
2.8,16809543,139,120932.0,117442.0,3427,320042,32728.8,cudaMalloc
2.8,16770691,4,4192672.8,5322299.0,425265,5700828,2519536.7,cuLibraryLoadData
2.6,15351230,1,15351230.0,15351230.0,15351230,15351230,0.0,cudaDeviceSynchronize
1.1,6476407,1092,5930.8,5471.5,2864,26752,2109.8,cudaMemsetAsync
0.8,4576153,112,40858.5,24965.0,3421,88993,34035.1,cudaStreamSynchronize
0.4,2157163,300,7190.5,554.0,324,1688934,98089.1,cuKernelGetFunction
0.3,1954600,300,6515.3,5780.0,4256,24485,2242.5,cuLaunchKernel
0.3,1579782,2,789891.0,789891.0,2793,1576989,1113124.7,cudaFree
0.0,174187,38,4583.9,556.0,294,76383,16429.1,cudaEventCreateWithFlags
0.0,153495,137,1120.4,1093.0,273,6810,607.8,cudaStreamIsCapturing_v10000
0.0,130772,810,161.4,130.0,74,1670,100.8,cuGetProcAddress_v2
0.0,19360,2,9680.0,9680.0,9425,9935,360.6,cudaEventRecord
0.0,7148,7,1021.1,830.0,630,1772,420.7,cuLibraryGetKernel
0.0,4465,3,1488.3,1535.0,1323,1607,147.6,cuInit
0.0,3275,2,1637.5,1637.5,822,2453,1153.3,cudaEventDestroy
0.0,1237,2,618.5,618.5,382,855,334.5,cudaGetDriverEntryPoint_v11030
0.0,1224,3,408.0,159.0,134,931,453.1,cuModuleGetLoadingMode
