Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.1,190419449,3794,50189.6,5074.5,3763,26855778,814131.1,cudaLaunchKernel
30.9,112988789,112,1008828.5,499324.0,4357,12263125,1422235.6,cudaMemcpyAsync
7.9,28991687,1,28991687.0,28991687.0,28991687,28991687,0.0,cudaDeviceSynchronize
4.6,16847127,4,4211781.8,5308486.0,436409,5793746,2527603.3,cuLibraryLoadData
1.6,5935627,112,52996.7,55394.0,3383,89038,31352.1,cudaStreamSynchronize
1.5,5641139,39,144644.6,124157.0,3693,582776,85397.1,cudaMalloc
0.8,2830579,1,2830579.0,2830579.0,2830579,2830579,0.0,cudaFree
0.3,1223313,216,5663.5,5407.0,4225,14245,1176.0,cudaMemsetAsync
0.1,234973,810,290.1,130.0,69,51639,2506.7,cuGetProcAddress_v2
0.0,55284,40,1382.1,1168.0,274,8557,1287.8,cudaStreamIsCapturing_v10000
0.0,19913,20,995.7,323.5,292,6220,1579.0,cudaEventCreateWithFlags
0.0,9889,2,4944.5,4944.5,3722,6167,1728.9,cudaEventRecord
0.0,5293,3,1764.3,1890.0,1384,2019,335.6,cuInit
0.0,2552,2,1276.0,1276.0,669,1883,858.4,cudaEventDestroy
0.0,2403,4,600.8,578.0,557,690,61.2,cuLibraryGetKernel
0.0,1263,3,421.0,144.0,136,983,486.7,cuModuleGetLoadingMode
0.0,1127,2,563.5,563.5,398,729,234.1,cudaGetDriverEntryPoint_v11030
