Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
55.8,1838058699,30998,59296.0,5803.0,3690,84628857,747042.1,cudaLaunchKernel
29.1,958796279,772,1241964.1,158790.5,5494,19930775,2297837.4,cudaMemcpyAsync
7.2,238621929,4338,55007.4,6088.5,2620,714384,133645.8,cudaMemsetAsync
2.2,72975024,1,72975024.0,72975024.0,72975024,72975024,0.0,cudaDeviceSynchronize
2.2,72961178,583,125147.8,123999.0,3940,324330,24534.6,cudaMalloc
2.1,67885911,2172,31255.0,5296.5,3737,959238,70432.2,cuLaunchKernel
0.6,18650893,4,4662723.3,5699870.5,1121436,6129716,2369811.9,cuLibraryLoadData
0.5,17159882,328,52316.7,53887.0,3517,100596,31520.1,cudaStreamSynchronize
0.1,3843428,2172,1769.5,482.0,247,2426574,52270.3,cuKernelGetFunction
0.1,1919008,2,959504.0,959504.0,2782,1916226,1353009.2,cudaFree
0.0,634355,581,1091.8,1126.0,292,7327,385.0,cudaStreamIsCapturing_v10000
0.0,133424,810,164.7,126.0,68,1420,109.5,cuGetProcAddress_v2
0.0,59128,38,1556.0,914.0,274,13778,2704.8,cudaEventCreateWithFlags
0.0,32773,2,16386.5,16386.5,16187,16586,282.1,cudaEventRecord
0.0,8038,7,1148.3,891.0,608,2160,568.3,cuLibraryGetKernel
0.0,3985,3,1328.3,1318.0,1296,1371,38.6,cuInit
0.0,1948,2,974.0,974.0,485,1463,691.6,cudaEventDestroy
0.0,1184,3,394.7,144.0,106,934,467.5,cuModuleGetLoadingMode
0.0,1162,2,581.0,581.0,322,840,366.3,cudaGetDriverEntryPoint_v11030
