Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
56.2,203530176,3866,52646.2,5022.5,3347,27024719,833772.2,cudaLaunchKernel
35.2,127381970,112,1137339.0,932961.5,4251,6277288,999451.8,cudaMemcpyAsync
4.7,16879652,4,4219913.0,5331880.5,425556,5790335,2540215.2,cuLibraryLoadData
1.4,4934445,37,133363.4,118844.0,3477,299234,49748.6,cudaMalloc
1.3,4582904,112,40918.8,25120.0,3148,89499,34172.0,cudaStreamSynchronize
0.7,2367369,438,5405.0,5495.5,3721,21838,1463.4,cudaMemsetAsync
0.4,1566535,1,1566535.0,1566535.0,1566535,1566535,0.0,cudaFree
0.1,430486,1,430486.0,430486.0,430486,430486,0.0,cudaDeviceSynchronize
0.0,127499,810,157.4,122.0,66,1699,105.5,cuGetProcAddress_v2
0.0,49997,38,1315.7,1119.5,294,7014,1149.7,cudaStreamIsCapturing_v10000
0.0,20015,20,1000.8,380.5,306,6665,1604.3,cudaEventCreateWithFlags
0.0,8997,2,4498.5,4498.5,3578,5419,1301.8,cudaEventRecord
0.0,4661,3,1553.7,1521.0,1332,1808,239.7,cuInit
0.0,2698,4,674.5,632.5,576,857,129.3,cuLibraryGetKernel
0.0,1551,2,775.5,775.5,400,1151,531.0,cudaEventDestroy
0.0,1288,3,429.3,131.0,126,1031,521.1,cuModuleGetLoadingMode
0.0,1216,2,608.0,608.0,339,877,380.4,cudaGetDriverEntryPoint_v11030
