Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
81.7,1123635385,21008,53486.1,5321.5,3545,103673365,947764.6,cudaLaunchKernel
9.6,131558588,268,490890.3,13396.5,4724,6300766,848735.3,cudaMemcpyAsync
3.5,48365253,1476,32767.8,5436.0,2569,622531,95756.3,cudaMemsetAsync
2.1,28561041,948,30127.7,5583.0,3912,424988,83303.9,cuLaunchKernel
1.2,16955035,4,4238758.8,5424127.0,425565,5681216,2550727.3,cuLibraryLoadData
1.1,15056658,113,133244.8,122439.0,3761,333249,46750.3,cudaMalloc
0.3,4599490,112,41066.9,24843.0,1212,89206,34022.4,cudaStreamSynchronize
0.3,3907464,948,4121.8,493.5,239,3099788,100892.3,cuKernelGetFunction
0.1,1515589,2,757794.5,757794.5,3304,1512285,1067010.7,cudaFree
0.0,130337,810,160.9,122.5,70,1414,109.9,cuGetProcAddress_v2
0.0,124131,111,1118.3,1037.0,296,6988,704.6,cudaStreamIsCapturing_v10000
0.0,56279,38,1481.0,930.5,280,16666,2831.6,cudaEventCreateWithFlags
0.0,11498,2,5749.0,5749.0,4975,6523,1094.6,cudaEventRecord
0.0,8113,7,1159.0,1087.0,593,2065,585.1,cuLibraryGetKernel
0.0,5921,1,5921.0,5921.0,5921,5921,0.0,cudaDeviceSynchronize
0.0,4181,3,1393.7,1400.0,982,1799,408.5,cuInit
0.0,1977,2,988.5,988.5,527,1450,652.7,cudaEventDestroy
0.0,1365,3,455.0,146.0,129,1090,550.0,cuModuleGetLoadingMode
0.0,1248,2,624.0,624.0,330,918,415.8,cudaGetDriverEntryPoint_v11030
