Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
48.9,905995084,328,2762180.1,1373392.0,5599,20178588,2844771.7,cudaMemcpyAsync
36.2,669996539,11282,59386.3,5586.0,3847,27130804,500132.4,cudaLaunchKernel
7.3,134421557,1512,88903.1,6553.0,3896,659443,189856.5,cudaMemsetAsync
4.4,81544015,1,81544015.0,81544015.0,81544015,81544015,0.0,cudaDeviceSynchronize
1.2,22661849,174,130240.5,125615.5,5032,257105,23148.2,cudaMalloc
1.0,18465615,4,4616403.8,5663308.0,1151172,5987827,2316329.2,cuLibraryLoadData
0.9,17112572,328,52172.5,54387.0,3239,88716,31526.7,cudaStreamSynchronize
0.1,1926789,1,1926789.0,1926789.0,1926789,1926789,0.0,cudaFree
0.0,211366,175,1207.8,1150.0,298,7157,549.0,cudaStreamIsCapturing_v10000
0.0,133126,810,164.4,128.0,67,1571,110.6,cuGetProcAddress_v2
0.0,22003,20,1100.2,290.0,271,5188,1521.2,cudaEventCreateWithFlags
0.0,9585,2,4792.5,4792.5,4108,5477,968.0,cudaEventRecord
0.0,3726,3,1242.0,1112.0,1017,1597,311.1,cuInit
0.0,2676,4,669.0,577.5,524,997,222.5,cuLibraryGetKernel
0.0,1702,2,851.0,851.0,507,1195,486.5,cudaEventDestroy
0.0,1553,3,517.7,119.0,115,1319,694.0,cuModuleGetLoadingMode
0.0,1043,2,521.5,521.5,309,734,300.5,cudaGetDriverEntryPoint_v11030
