Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
60.4,1998881435,11282,177174.4,6761.0,3885,27253773,565462.9,cudaLaunchKernel
28.4,938038199,328,2859872.6,1372884.0,5417,11922744,2867458.7,cudaMemcpyAsync
6.2,204001661,1,204001661.0,204001661.0,204001661,204001661,0.0,cudaDeviceSynchronize
3.2,106507347,1080,98617.9,6257.0,3787,1112491,274027.2,cudaMemsetAsync
0.7,22849663,178,128368.9,123531.5,6711,295719,26042.4,cudaMalloc
0.6,18521498,4,4630374.5,5660895.5,1107631,6092076,2358510.7,cuLibraryLoadData
0.5,16879249,328,51461.1,54375.0,3495,88479,31832.4,cudaStreamSynchronize
0.1,1908951,1,1908951.0,1908951.0,1908951,1908951,0.0,cudaFree
0.0,251718,2,125859.0,125859.0,51607,200111,105008.2,cudaEventRecord
0.0,217089,179,1212.8,1164.0,293,6680,526.5,cudaStreamIsCapturing_v10000
0.0,131350,810,162.2,126.0,71,1594,105.6,cuGetProcAddress_v2
0.0,25516,20,1275.8,288.0,276,7077,2003.7,cudaEventCreateWithFlags
0.0,4314,3,1438.0,1413.0,1193,1708,258.4,cuInit
0.0,2702,2,1351.0,1351.0,549,2153,1134.2,cudaEventDestroy
0.0,2361,4,590.3,554.5,485,767,129.1,cuLibraryGetKernel
0.0,1460,3,486.7,175.0,149,1136,562.5,cuModuleGetLoadingMode
0.0,1005,2,502.5,502.5,348,657,218.5,cudaGetDriverEntryPoint_v11030
