source_json,timestamp_utc,model_size,d_model,d_ff,num_layers,num_heads,vocab_size,batch_size,context_length,mode,warmup_steps,measurement_steps,dtype,seed,learning_rate,device,gpu,gpu_memory_mib,compute_capability,driver_version,cuda_runtime,cudnn_version,pytorch,python,samples_ms,mean_ms,stdev_ms,cv,losses,first_loss,last_loss,peak_allocated_mib,peak_reserved_mib,command
small_b4_t512_forward_backward_fp32_w5.json,2026-07-28T09:27:50.903536+00:00,small,768,3072,12,12,10000,4,512,forward_backward,5,10,fp32,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,"[81.02547563612461,80.99788520485163,81.16505667567253,81.20258059352636,81.27575553953648,81.18083421140909,81.15184586495161,81.35413192212582,81.46330621093512,81.38811774551868]",81.22049896046519,0.15100953312060095,0.001859253945166062,"[9.280805587768555,9.280805587768555,9.280805587768555,9.280805587768555,9.280805587768555,9.280805587768555,9.280805587768555,9.280805587768555,9.280805587768555,9.280805587768555]",9.280805587768555,9.280805587768555,4157.58935546875,4288.0,uv run python profiling/benchmark.py --model-size small --batch-size 4 --context-length 512 --mode forward_backward --warmup 5 --steps 10 --dtype fp32 --seed 0 --learning-rate 0.001 --device cuda --output results/mixed-precision/formal/small_b4_t512_forward_backward_fp32_w5.json
small_b4_t512_forward_backward_bf16_w5.json,2026-07-28T09:27:59.780517+00:00,small,768,3072,12,12,10000,4,512,forward_backward,5,10,bf16,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,"[49.78203494101763,49.94888324290514,49.674064852297306,49.44124445319176,49.6791647747159,49.7079212218523,49.84585102647543,49.872216768562794,49.90602843463421,50.02431385219097]",49.788172356784344,0.16918471177820585,0.003398090425288568,"[9.28068733215332,9.28068733215332,9.28068733215332,9.28068733215332,9.28068733215332,9.28068733215332,9.28068733215332,9.28068733215332,9.28068733215332,9.28068733215332]",9.28068733215332,9.28068733215332,3319.23095703125,3596.0,uv run python profiling/benchmark.py --model-size small --batch-size 4 --context-length 512 --mode forward_backward --warmup 5 --steps 10 --dtype bf16 --seed 0 --learning-rate 0.001 --device cuda --output results/mixed-precision/formal/small_b4_t512_forward_backward_bf16_w5.json
medium_b4_t512_forward_backward_fp32_w5.json,2026-07-28T09:28:15.872669+00:00,medium,1024,4096,24,16,10000,4,512,forward_backward,5,10,fp32,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,"[233.29009488224983,233.19735378026962,233.22994448244572,233.3285491913557,233.4216572344303,233.34455583244562,233.25858730822802,233.2177022472024,233.33450127393007,233.2562692463398]",233.2879215478897,0.06934186835576756,0.00029723728470671355,"[9.31201171875,9.31201171875,9.31201171875,9.31201171875,9.31201171875,9.31201171875,9.31201171875,9.31201171875,9.31201171875,9.31201171875]",9.31201171875,9.31201171875,10817.33251953125,11256.0,uv run python profiling/benchmark.py --model-size medium --batch-size 4 --context-length 512 --mode forward_backward --warmup 5 --steps 10 --dtype fp32 --seed 0 --learning-rate 0.001 --device cuda --output results/mixed-precision/formal/medium_b4_t512_forward_backward_fp32_w5.json
medium_b4_t512_forward_backward_bf16_w5.json,2026-07-28T09:28:30.802844+00:00,medium,1024,4096,24,16,10000,4,512,forward_backward,5,10,bf16,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,"[124.23588801175356,124.33299608528614,124.32637251913548,124.30927343666553,124.32129960507154,124.38362650573254,124.34452399611473,127.08891741931438,124.31869748979807,124.35214128345251]",124.60137363523245,0.8748509744921859,0.0070211984745311975,"[9.31192398071289,9.31192398071289,9.31192398071289,9.31192398071289,9.31192398071289,9.31192398071289,9.31192398071289,9.31192398071289,9.31192398071289,9.31192398071289]",9.31192398071289,9.31192398071289,8624.04443359375,8928.0,uv run python profiling/benchmark.py --model-size medium --batch-size 4 --context-length 512 --mode forward_backward --warmup 5 --steps 10 --dtype bf16 --seed 0 --learning-rate 0.001 --device cuda --output results/mixed-precision/formal/medium_b4_t512_forward_backward_bf16_w5.json
large_b4_t512_forward_backward_fp32_w5.json,2026-07-28T09:28:55.851040+00:00,large,1280,5120,36,20,10000,4,512,forward_backward,5,10,fp32,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,"[518.0074740201235,518.3651093393564,518.5665627941489,518.4281105175614,518.9883103594184,519.1270895302296,518.8266551122069,519.1945573315024,519.3666024133563,518.9903844147921]",518.7860855832696,0.43001353688056887,0.0008288840985338032,"[9.317277908325195,9.317277908325195,9.317277908325195,9.317277908325195,9.317277908325195,9.317277908325195,9.317277908325195,9.317277908325195,9.317277908325195,9.317277908325195]",9.317277908325195,9.317277908325195,20751.40380859375,20976.0,uv run python profiling/benchmark.py --model-size large --batch-size 4 --context-length 512 --mode forward_backward --warmup 5 --steps 10 --dtype fp32 --seed 0 --learning-rate 0.001 --device cuda --output results/mixed-precision/formal/large_b4_t512_forward_backward_fp32_w5.json
large_b4_t512_forward_backward_bf16_w5.json,2026-07-28T09:29:18.209683+00:00,large,1280,5120,36,20,10000,4,512,forward_backward,5,10,bf16,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,"[266.46727975457907,266.61346573382616,266.42131339758635,266.4291989058256,266.46377984434366,266.5254771709442,266.51876140385866,266.6067788377404,267.01384130865335,270.5399030819535]",266.9599799439311,1.2696411773846195,0.004755923257303506,"[9.317359924316406,9.317359924316406,9.317359924316406,9.317359924316406,9.317359924316406,9.317359924316406,9.317359924316406,9.317359924316406,9.317359924316406,9.317359924316406]",9.317359924316406,9.317359924316406,17000.87548828125,17636.0,uv run python profiling/benchmark.py --model-size large --batch-size 4 --context-length 512 --mode forward_backward --warmup 5 --steps 10 --dtype bf16 --seed 0 --learning-rate 0.001 --device cuda --output results/mixed-precision/formal/large_b4_t512_forward_backward_bf16_w5.json
xl_b4_t512_forward_backward_fp32_w5.json,2026-07-28T09:30:10.085550+00:00,xl,2560,10240,32,32,10000,4,512,forward_backward,5,10,fp32,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,"[1287.0734930038452,1286.8777113035321,1289.6952498704195,1289.7336333990097,1291.5906989946961,1292.7779713645577,1295.112763531506,1296.250476501882,1298.7192943692207,1299.773477949202]",1292.7604770287871,4.585942779480132,0.0035474032978020974,"[9.414849281311035,9.414849281311035,9.414849281311035,9.414849281311035,9.414849281311035,9.414849281311035,9.414849281311035,9.414849281311035,9.414849281311035,9.414849281311035]",9.414849281311035,9.414849281311035,41118.36669921875,42512.0,uv run python profiling/benchmark.py --model-size xl --batch-size 4 --context-length 512 --mode forward_backward --warmup 5 --steps 10 --dtype fp32 --seed 0 --learning-rate 0.001 --device cuda --output results/mixed-precision/formal/xl_b4_t512_forward_backward_fp32_w5.json
xl_b4_t512_forward_backward_bf16_w5.json,2026-07-28T09:30:55.389757+00:00,xl,2560,10240,32,32,10000,4,512,forward_backward,5,10,bf16,0,0.001,cuda,NVIDIA GeForce RTX 4090,48519.0625,8.9,570.124.06,12.8,91900,2.11.0+cu128,3.12.3,"[648.8020326942205,648.9931019023061,649.3396162986755,649.5175147429109,649.3189632892609,650.2444678917527,650.1897498965263,649.865010753274,649.6904827654362,649.8743807896972]",649.583532102406,0.4799070256947929,0.0007387918596728467,"[9.414957046508789,9.414957046508789,9.414957046508789,9.414957046508789,9.414957046508789,9.414957046508789,9.414957046508789,9.414957046508789,9.414957046508789,9.414957046508789]",9.414957046508789,9.414957046508789,38182.80419921875,44322.0,uv run python profiling/benchmark.py --model-size xl --batch-size 4 --context-length 512 --mode forward_backward --warmup 5 --steps 10 --dtype bf16 --seed 0 --learning-rate 0.001 --device cuda --output results/mixed-precision/formal/xl_b4_t512_forward_backward_bf16_w5.json
