time_us,active_mib,reserved_mib
1786439211785358,13157.291985,13178.000000
1786439211792765,13297.299797,13298.000000
1786439211796060,13307.299797,13338.000000
1786439211798092,14305.315422,14362.000000
1786439211801497,14346.065422,15388.000000
1786439211802006,14846.057610,15388.000000
1786439211802406,14916.065422,15388.000000
1786439211802568,14946.065422,15388.000000
1786439211805565,15422.331047,16412.000000
1786439211807941,15994.823235,17436.000000
1786439211808306,16434.838860,17436.000000
1786439211808698,16574.831047,17436.000000
1786439211808831,16554.831047,17436.000000
1786439211811836,18587.596672,18972.000000
1786439211812284,17743.588860,18972.000000
1786439211812727,18163.596672,18972.000000
1786439211812996,18193.596672,18972.000000
1786439211813989,18679.612301,19484.000000
1786439211817384,19232.362297,20510.000000
1786439211817811,19712.354485,20510.000000
1786439211818217,19822.362297,20510.000000
1786439211818402,19822.362297,20510.000000
1786439211820418,20821.127922,21022.000000
1786439211822777,20881.120110,22046.000000
1786439211823145,21321.135735,22046.000000
1786439211823523,21441.127922,22046.000000
1786439211823684,21425.143547,22046.000000
1786439211826788,22981.893547,23582.000000
1786439211827222,22949.885735,23582.000000
1786439211827687,23079.893547,23582.000000
1786439211827820,23059.893547,23582.000000
1786439211829894,24077.909176,24606.000000
1786439211833279,24118.643547,25632.000000
1786439211833683,24598.651360,25632.000000
1786439211834100,24718.659172,25632.000000
1786439211834240,24718.659172,25632.000000
1786439211836179,25707.174797,26656.000000
1786439211837621,25767.424797,27168.000000
1786439211837967,26227.424797,27168.000000
1786439211838341,26307.424797,27168.000000
1786439211839357,26823.440422,27680.000000
1786439211842665,27356.190422,28706.000000
1786439211843196,27856.182610,28706.000000
1786439211843621,27956.190422,28706.000000
1786439211843769,27966.190422,28706.000000
1786439211844722,28452.206047,29218.000000
1786439211847117,29044.948235,30242.000000
1786439211847473,29464.963860,30242.000000
1786439211847856,29604.956047,30242.000000
1786439211847992,29584.956047,30242.000000
1786439211851006,31105.721672,31778.000000
1786439211851419,30693.713860,31778.000000
1786439211851862,31173.721672,31778.000000
1786439211852176,31223.721672,31778.000000
1786439211854200,32221.737297,32802.000000
1786439211857546,32262.487297,33828.000000
1786439211858019,32762.479485,33828.000000
1786439211858409,32832.487297,33828.000000
1786439211858571,32862.487297,33828.000000
1786439211859562,33339.252922,34340.000000
1786439211861938,33911.252922,35364.000000
1786439211862283,34351.252922,35364.000000
1786439211862667,34481.252922,35364.000000
1786439211862793,34451.252922,35364.000000
1786439211864976,36504.018547,36902.000000
1786439211865458,35740.010735,36902.000000
1786439211865967,36090.018547,36902.000000
1786439211866136,36100.018547,36902.000000
1786439211866712,37108.034176,37414.000000
1786439211867563,37148.768547,38438.000000
1786439211867936,37608.776360,38438.000000
1786439211868343,37748.784172,38438.000000
1786439211868479,37728.784172,38438.000000
1786439211869076,38737.299797,38950.000000
1786439211870084,38797.549797,39974.000000
1786439211870434,39237.549797,39974.000000
1786439211870811,39357.549797,39974.000000
1786439211871344,39341.565422,40486.000000
1786439211872508,40898.315422,42024.000000
1786439211872969,40786.307610,42024.000000
1786439211873448,40996.315422,42024.000000
1786439211873593,40976.315422,42024.000000
1786439211874182,41994.331047,42536.000000
1786439211875237,42075.065422,43560.000000
1786439211875620,42515.081047,43560.000000
1786439211875994,42625.081047,43560.000000
1786439211876141,42625.081047,43560.000000
1786439211877013,44135.846672,44584.000000
1786439211877655,43703.838860,45096.000000
1786439211878048,44183.846672,45096.000000
1786439211878397,44233.846672,45096.000000
1786439211878937,45251.862297,45608.000000
1786439211879876,45292.612297,46634.000000
1786439211880363,45792.604485,46634.000000
1786439211880755,45872.612297,46634.000000
1786439211880913,45892.612297,46634.000000
1786439211881497,46368.877922,47146.000000
1786439211882433,46941.370110,48170.000000
1786439211882818,47381.385735,48170.000000
1786439211883238,47521.377922,48170.000000
1786439211883378,47501.377922,48170.000000
1786439211884936,49022.143547,50220.000000
1786439211885369,48610.135735,50220.000000
1786439211885848,49090.143547,50220.000000
1786439211886186,49140.143547,50220.000000
1786439211886760,49626.159172,50732.000000
1786439211887633,50178.909172,51756.000000
1786439211888082,50658.901360,51756.000000
1786439211888512,50768.909172,51756.000000
1786439211888670,50768.909172,51756.000000
1786439211889303,51767.674797,52268.000000
1786439211890255,51827.674797,53292.000000
1786439211890625,52267.682610,53292.000000
1786439211891082,52397.674797,53292.000000
1786439211891228,52367.690422,53292.000000
1786439211892514,53908.440422,54830.000000
1786439211893017,53736.432610,54830.000000
1786439211893575,54016.440422,54830.000000
1786439211893740,54016.440422,54830.000000
1786439211894370,55024.456051,55342.000000
1786439211895271,55085.190422,56366.000000
1786439211895686,55545.206047,56366.000000
1786439211896106,55655.206047,56366.000000
1786439211896262,55665.206047,56366.000000
1786439211897431,56653.721672,57902.000000
1786439211898113,56713.971672,58414.000000
1786439211898485,57173.971672,58414.000000
1786439211898890,57253.971672,58414.000000
1786439211899489,57769.987297,58926.000000
1786439211900424,58302.737297,59952.000000
1786439211900899,58782.729485,59952.000000
1786439211901409,58912.737297,59952.000000
1786439211901559,58902.737297,59952.000000
