config_id,model_size,num_layers,context_length,batch_size,dtype,checkpoint_block_size,nested,warmup_steps,measurement_steps,step_time_ms_samples,step_time_ms_p50,peak_allocated_mib,peak_reserved_mib,allocator_limit_mib,allocator_fraction,free_memory_mib_at_start,final_loss,status,error_type,error
medium-l24-b1-s1024-bf16-block1,medium,24,1024,1,bfloat16_autocast_fp32_parameters,1,False,3,5,"[203.71072387695312, 204.40284729003906, 205.1612091064453, 203.23574829101562, 206.16213989257812]",204.40284729003906,8116.53564453125,8170.0,23552,0.48421737046550567,48233.125,6.810962677001953,ok,,
medium-l24-b1-s1024-bf16-block2,medium,24,1024,1,bfloat16_autocast_fp32_parameters,2,False,3,5,"[196.83261108398438, 194.1946563720703, 194.72483825683594, 204.43215942382812, 205.64064025878906]",196.83261108398438,8116.53564453125,8162.0,23552,0.48421737046550567,48233.125,6.810123920440674,ok,,
medium-l24-b1-s1024-bf16-block4,medium,24,1024,1,bfloat16_autocast_fp32_parameters,4,False,3,5,"[189.90733337402344, 194.34764099121094, 190.16262817382812, 190.2528076171875, 193.38914489746094]",190.2528076171875,8117.47314453125,8220.0,23552,0.48421737046550567,48233.125,6.809325218200684,ok,,
medium-l24-b1-s1024-bf16-block8,medium,24,1024,1,bfloat16_autocast_fp32_parameters,8,False,3,5,"[186.0094451904297, 186.03872680664062, 189.0753936767578, 187.31939697265625, 186.39181518554688]",186.39181518554688,8117.47314453125,8178.0,23552,0.48421737046550567,48233.125,6.810214996337891,ok,,
medium-l24-b1-s1024-bf16-blocknone,medium,24,1024,1,bfloat16_autocast_fp32_parameters,none,False,3,5,"[139.49183654785156, 138.31773376464844, 138.4145965576172, 138.43235778808594, 138.9350128173828]",138.43235778808594,10065.1884765625,10244.0,23552,0.48421737046550567,48233.125,6.810962677001953,ok,,
medium-l24-b1-s2048-bf16-block2,medium,24,2048,1,bfloat16_autocast_fp32_parameters,2,False,3,5,"[486.0410461425781, 486.1195068359375, 485.8729553222656, 485.88763427734375, 486.2218322753906]",486.0410461425781,8569.2470703125,9948.0,23552,0.48421737046550567,48233.125,7.52318000793457,ok,,
medium-l24-b1-s2048-bf16-blocknone,medium,24,2048,1,bfloat16_autocast_fp32_parameters,none,False,3,5,"[380.5823059082031, 380.592529296875, 380.5235595703125, 380.51031494140625, 380.47540283203125]",380.5235595703125,19664.1376953125,20192.0,23552,0.48421737046550567,48233.125,7.523519992828369,ok,,
