implementation,seq_len,head_dim,batch_size,dtype,causal,phase,warmup_ms,rep_ms,p20_ms,p50_ms,p80_ms,sample_count,measurement_elapsed_ms,peak_allocated_mib,peak_reserved_mib,allocator_limit_mib,allocator_fraction,free_memory_mib_at_start,status,error_type,error
eager,2048,128,1,bfloat16,True,backward,100.0,300.0,0.2764799892902374,0.2812640070915222,0.2906239926815033,1046,300.2592648267746,70.765625,94.0,23552,0.48421737046550567,48233.125,ok,,
eager,2048,128,1,bfloat16,True,forward,100.0,300.0,0.21820800006389618,0.2199680060148239,0.22220799326896667,1345,300.12316757440567,58.640625,76.0,23552,0.48421737046550567,48233.125,ok,,
eager,2048,128,1,bfloat16,True,forward-backward,100.0,300.0,0.5386239886283875,0.5447679758071899,0.554310405254364,545,300.1490241885185,70.765625,94.0,23552,0.48421737046550567,48233.125,ok,,
eager,2048,64,1,bfloat16,True,backward,100.0,300.0,0.2836480140686035,0.28569599986076355,0.289792001247406,1036,300.063488394022,69.515625,92.0,23552,0.48421737046550567,48233.125,ok,,
eager,2048,64,1,bfloat16,True,forward,100.0,300.0,0.2242559939622879,0.22627200186252594,0.22835199534893036,1321,300.15219025313854,57.390625,74.0,23552,0.48421737046550567,48233.125,ok,,
eager,2048,64,1,bfloat16,True,forward-backward,100.0,300.0,0.5521600246429443,0.5591040253639221,0.5683199763298035,521,300.25907188653946,69.515625,92.0,23552,0.48421737046550567,48233.125,ok,,
eager,512,128,1,bfloat16,True,backward,100.0,300.0,0.2887679934501648,0.29104000329971313,0.2967360019683838,1020,300.2836471796036,20.12890625,24.0,23552,0.48421737046550567,48233.125,ok,,
eager,512,128,1,bfloat16,True,forward,100.0,300.0,0.2199999988079071,0.22118400037288666,0.22336000204086304,1327,300.0900140404701,11.75390625,24.0,23552,0.48421737046550567,48233.125,ok,,
eager,512,128,1,bfloat16,True,forward-backward,100.0,300.0,0.5763776063919067,0.5845920145511627,0.609279990196228,494,300.10655999183655,20.12890625,24.0,23552,0.48421737046550567,48233.125,ok,,
eager,512,64,1,bfloat16,True,backward,100.0,300.0,0.2940160036087036,0.2969599962234497,0.3009087920188904,999,300.1391676366329,19.81640625,24.0,23552,0.48421737046550567,48233.125,ok,,
eager,512,64,1,bfloat16,True,forward,100.0,300.0,0.21913599967956543,0.22022399306297302,0.22252799570560455,1331,300.21068701148033,11.44140625,24.0,23552,0.48421737046550567,48233.125,ok,,
eager,512,64,1,bfloat16,True,forward-backward,100.0,300.0,0.5461120009422302,0.5507519841194153,0.5601279735565186,541,300.23731166124344,19.81640625,24.0,23552,0.48421737046550567,48233.125,ok,,
eager,8192,128,1,bfloat16,True,backward,100.0,300.0,2.3900160789489746,2.3911041021347046,2.3940160274505615,126,301.3566143512726,858.3125,1174.0,23552,0.48421737046550567,48233.125,ok,,
eager,8192,128,1,bfloat16,True,forward,100.0,300.0,3.898131227493286,3.902463912963867,3.9147520065307617,77,301.0861747264862,786.1875,918.0,23552,0.48421737046550567,48233.125,ok,,
eager,8192,128,1,bfloat16,True,forward-backward,100.0,300.0,6.307839870452881,6.318592071533203,6.334643077850342,48,303.56460762023926,858.3125,1174.0,23552,0.48421737046550567,48233.125,ok,,
eager,8192,64,1,bfloat16,True,backward,100.0,300.0,2.348031997680664,2.350000023841858,2.3511040210723877,128,300.76899313926697,853.3125,926.0,23552,0.48421737046550567,48233.125,ok,,
eager,8192,64,1,bfloat16,True,forward,100.0,300.0,3.8707327842712402,3.8824959993362427,3.886080026626587,78,303.0219843387604,781.1875,922.0,23552,0.48421737046550567,48233.125,ok,,
eager,8192,64,1,bfloat16,True,forward-backward,100.0,300.0,6.253638458251953,6.25710391998291,6.259750556945801,48,300.53680086135864,853.3125,926.0,23552,0.48421737046550567,48233.125,ok,,
