config_id,model_size,num_layers,context_length,batch_size,dtype,checkpoint_block_size,nested,warmup_steps,measurement_steps,allocator_limit_mib,allocator_fraction,status,step_time_ms_samples,step_time_ms_p50,peak_allocated_mib,peak_reserved_mib,error_type
medium_c1024_b1,medium,24,1024,1,bf16_autocast,1,False,3,5,23552,0.48421737046550567,success,"[221.49154916405678, 225.6186492741108, 221.51001542806625, 223.42894226312637, 221.76767140626907]",221.76767140626907,8123.09814453125,8156.0,
medium_c1024_b2,medium,24,1024,1,bf16_autocast,2,False,3,5,23552,0.48421737046550567,success,"[219.59584206342697, 219.50611844658852, 220.1608046889305, 222.06873446702957, 221.89531102776527]",220.1608046889305,8122.62939453125,8210.0,
medium_c1024_b4,medium,24,1024,1,bf16_autocast,4,False,3,5,23552,0.48421737046550567,success,"[222.03467786312103, 224.14006292819977, 220.39532288908958, 221.77419438958168, 220.41446343064308]",221.77419438958168,8123.22314453125,8224.0,
medium_c1024_b8,medium,24,1024,1,bf16_autocast,8,False,3,5,23552,0.48421737046550567,success,"[224.84175115823746, 223.32067042589188, 223.26000407338142, 226.7138436436653, 223.52538257837296]",223.52538257837296,8368.5556640625,8586.0,
medium_c1024_b0,medium,24,1024,1,bf16_autocast,none,False,3,5,23552,0.48421737046550567,success,"[162.91118040680885, 163.15115243196487, 162.93658316135406, 162.7308614552021, 162.750031799078]",162.91118040680885,11639.6416015625,11778.0,
medium_c2048_b2,medium,24,2048,1,bf16_autocast,2,False,3,5,23552,0.48421737046550567,success,"[685.4084581136703, 679.8303946852684, 679.6316765248775, 681.0589283704758, 679.7501668334007]",679.8303946852684,9102.9189453125,10220.0,
medium_c2048_b0,medium,24,2048,1,bf16_autocast,none,False,3,5,23552,0.48421737046550567,oom,[],,23372.14453125,23504.0,OutOfMemoryError
