config_id,model_size,num_layers,context_length,batch_size,dtype,checkpoint_block_size,nested,warmup_steps,measurement_steps,allocator_limit_mib,allocator_fraction,status,step_time_ms_samples,step_time_ms_p50,peak_allocated_mib,peak_reserved_mib
c1024_b0,medium,24,1024,1,bf16-autocast/fp32-params,0,False,3,5,23552,0.48421737046550567,ok,"[136.70669868588448, 135.70109009742737, 137.838926166296, 138.39927688241005, 139.0441507101059]",137.838926166296,10066.5947265625,10208.0
c1024_b1,medium,24,1024,1,bf16-autocast/fp32-params,1,False,3,5,23552,0.48421737046550567,ok,"[205.9144489467144, 207.05470070242882, 203.45165207982063, 206.53430745005608, 208.12290906906128]",206.53430745005608,6865.4072265625,7050.0
c1024_b2,medium,24,1024,1,bf16-autocast/fp32-params,2,False,3,5,23552,0.48421737046550567,ok,"[197.28566706180573, 196.11157476902008, 193.15097481012344, 193.95872950553894, 207.6108083128929]",196.11157476902008,7005.0634765625,7178.0
c1024_b4,medium,24,1024,1,bf16-autocast/fp32-params,4,False,3,5,23552,0.48421737046550567,ok,"[186.32958456873894, 185.46881526708603, 189.57458063960075, 187.6903995871544, 185.93691661953926]",186.32958456873894,7283.9072265625,7380.0
c1024_b8,medium,24,1024,1,bf16-autocast/fp32-params,8,False,3,5,23552,0.48421737046550567,ok,"[183.11896547675133, 183.4578700363636, 182.88728594779968, 182.64106288552284, 183.42508748173714]",183.11896547675133,7841.5947265625,7966.0
c2048_b0,medium,24,2048,1,bf16-autocast/fp32-params,0,False,3,5,23552,0.48421737046550567,ok,"[381.98845088481903, 381.26353919506073, 381.35070726275444, 381.338469684124, 381.92133605480194]",381.35070726275444,19664.2314453125,20192.0
c2048_b1,medium,24,2048,1,bf16-autocast/fp32-params,1,False,3,5,23552,0.48421737046550567,ok,"[488.5192699730396, 487.7747520804405, 487.8704436123371, 487.74174600839615, 488.1124161183834]",487.8704436123371,8065.5517578125,8378.0
