allocator_fraction,allocator_limit_mib,batch_size,causal,cold_start_ms,compile_backend,context_length,dtype,error,experiment,graph_break_count,head_dim,implementation,latency_ms_p50,latency_ms_samples,measurement_steps,model_size,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,phase,rep_ms,sequence_length,shape_specialization,status,warmup_ms,warmup_steps
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,64,eager,,,,,0.028672000393271446,0.028672000393271446,0.029632000252604485,265.9375,278.0,forward,300,512,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,64,eager,,,,,0.03347200155258179,0.03379200026392937,0.034015998244285583,274.875,280.0,backward,300,512,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,64,eager,,,,,0.2088959962129593,0.21094399690628052,0.21503999829292297,275.6875,280.0,forward_backward,300,512,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,128,eager,,,,,0.1085439994931221,0.10956799983978271,0.10977920144796371,290.625,300.0,forward,300,2048,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,128,eager,,,,,0.1074879989027977,0.10751999914646149,0.1085439994931221,311.25,342.0,backward,300,2048,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,128,eager,,,,,0.20951040089130402,0.21196800470352173,0.21503999829292297,323.75,342.0,forward_backward,300,2048,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,128,eager,,,,,1.7571840286254883,1.7594560384750366,1.7623039484024048,658.125,662.0,forward,300,8192,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,128,eager,,,,,2.437119960784912,2.4391679763793945,2.4414079189300537,860.25,918.0,backward,300,8192,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,128,eager,,,,,4.132863998413086,4.134912014007568,4.137983798980713,1054.25,1174.0,forward_backward,300,8192,,ok,100,
0.48421737046550567,23552,1,,360.7363663613796,,512,bf16-autocast/fp32-params,,small_transformer,0,,eager,17.82851666212082,"[18.076639622449875, 17.900634557008743, 17.575673758983612, 17.68840104341507, 17.82851666212082]",5,small,,,,1331.7626953125,1370.0,forward,,,"batch=1,context=512",ok,,3
0.48421737046550567,23552,1,,529.9907028675079,,512,bf16-autocast/fp32-params,,small_transformer,0,,eager,46.734265983104706,"[47.26959392428398, 46.807512640953064, 46.645715832710266, 46.47023230791092, 46.734265983104706]",5,small,,,,1405.537109375,1520.0,forward_backward,,,"batch=1,context=512",ok,,3
0.48421737046550567,23552,1,,535.7019379734993,,512,bf16-autocast/fp32-params,,small_transformer,0,,eager,61.70285493135452,"[62.383413314819336, 62.003400176763535, 61.4306665956974, 61.432741582393646, 61.70285493135452]",5,small,,,,2428.98046875,2640.0,training_step,,,"batch=1,context=512",ok,,3
0.48421737046550567,23552,1,True,2360.927954316139,,,bfloat16,,explicit_attention,,64,compiled,,,,,0.013311999849975109,0.013376000337302685,0.014336000196635723,264.9375,278.0,forward,300,512,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,64,compiled,,,,,0.024927999824285507,0.025599999353289604,0.025631999596953392,273.75,278.0,backward,300,512,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,64,compiled,,,,,0.1251264065504074,0.12902399897575378,0.22419199347496033,274.1875,278.0,forward_backward,300,512,,ok,100,
0.48421737046550567,23552,1,True,2482.876770198345,,,bfloat16,,explicit_attention,,128,compiled,,,,,0.043007999658584595,0.043007999658584595,0.04403200000524521,274.625,280.0,forward,300,2048,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,128,compiled,,,,,0.0727040022611618,0.07283200323581696,0.07372800260782242,292.25,538.0,backward,300,2048,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,128,compiled,,,,,0.1313920021057129,0.13414399325847626,0.13726720213890076,299.75,538.0,forward_backward,300,2048,,ok,100,
0.48421737046550567,23552,1,True,2567.0712403953075,,,bfloat16,,explicit_attention,,128,compiled,,,,,0.6091328263282776,0.6113280057907104,0.6133760213851929,402.125,406.0,forward,300,8192,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,128,compiled,,,,,1.0987263917922974,1.099776029586792,1.1011391878128052,544.25,662.0,backward,300,8192,,ok,100,
0.48421737046550567,23552,1,True,,,,bfloat16,,explicit_attention,,128,compiled,,,,,1.6465920209884644,1.6486400365829468,1.6517119407653809,670.25,790.0,forward_backward,300,8192,,ok,100,
0.48421737046550567,23552,1,,22831.56617358327,inductor,512,bf16-autocast/fp32-params,,small_transformer,0,,compiled,4.887983202934265,"[4.887983202934265, 4.869919270277023, 4.919793456792831, 5.029171705245972, 4.881486296653748]",5,small,,,,1104.4033203125,1382.0,forward,,,"batch=1,context=512",ok,,3
0.48421737046550567,23552,1,,25461.19224652648,inductor,512,bf16-autocast/fp32-params,,small_transformer,0,,compiled,13.70999589562416,"[13.818055391311646, 13.694170862436295, 13.70999589562416, 14.011435210704803, 13.601571321487427]",5,small,,,,1194.677734375,1726.0,forward_backward,,,"batch=1,context=512",ok,,3
0.48421737046550567,23552,1,,16522.857643663883,inductor,512,bf16-autocast/fp32-params,,small_transformer,0,,compiled,29.19536456465721,"[29.19536456465721, 29.375240206718445, 29.172375798225403, 29.2988158762455, 29.018830507993698]",5,small,,,,2214.51953125,2534.0,training_step,,,"batch=1,context=512",ok,,3
