case_id,status,model_size,context_length,batch_size,mode,precision,compiled,compile_cold_start_ms,warmup,repeats,mean_ms,std_ms,cv,p20_ms,p50_ms,p80_ms,measurement_count,peak_allocated_mib,peak_reserved_mib,gpu,error
small-forward-eager,passed,small,512,1,forward,bf16-mixed,False,,3,5,16.663361930847167,0.21158709159786993,0.012697743257090307,16.468854713439942,16.658883094787598,16.864830398559572,5,775.7333984375,812.0,NVIDIA GeForce RTX 4090,
small-forward-compiled,passed,small,512,1,forward,bf16-mixed,True,7532.626124382019,3,5,3.3275897979736326,0.05725485530583202,0.017206103751339154,3.2900955200195314,3.306324005126953,3.3489635467529295,5,525.4951171875,608.0,NVIDIA GeForce RTX 4090,
small-forward_backward-eager,passed,small,512,1,forward_backward,bf16-mixed,False,,3,5,62.26684036254883,5.019267579362574,0.0806089975039343,58.20002899169921,61.54023456573486,64.66910705566406,5,1415.7724609375,1510.0,NVIDIA GeForce RTX 4090,
small-forward_backward-compiled,passed,small,512,1,forward_backward,bf16-mixed,True,15162.136907577515,3,5,31.326342391967774,1.6499221644197677,0.052668841570307795,30.086402702331544,31.00833225250244,32.979136848449706,5,1204.4443359375,1324.0,NVIDIA GeForce RTX 4090,
small-train_step-eager,passed,small,512,1,train_step,bf16-mixed,False,,3,5,80.91820068359375,4.338685058445182,0.05361816033713235,78.53013038635254,81.70864391326904,84.2257703781128,5,2438.0439453125,2640.0,NVIDIA GeForce RTX 4090,
small-train_step-compiled,passed,small,512,1,train_step,bf16-mixed,True,15303.92065525055,3,5,45.39044876098633,1.2976881421815214,0.02858945389623248,44.10154514312744,45.541348457336426,46.38221130371093,5,2226.1845703125,2504.0,NVIDIA GeForce RTX 4090,
