config_id,model_size,num_layers,context_length,batch_size,dtype,checkpoint_block_size,nested,warmup_steps,measurement_steps,step_time_ms_samples,step_time_ms_p50,peak_allocated_mib,peak_reserved_mib,status
medium_ctx1024_ckptnone,medium,24,1024,1,bf16_autocast_fp32_params,,False,3,5,"[62.915584564208984, 61.54342269897461, 61.70191955566406, 62.3902702331543, 62.35343933105469]",62.35343933105469,6197.22314453125,6364.0,ok
medium_ctx1024_ckpt1,medium,24,1024,1,bf16_autocast_fp32_params,1,False,3,5,"[109.53011322021484, 103.44960021972656, 102.23001861572266, 105.98604583740234, 99.71711730957031]",103.44960021972656,6197.22314453125,6378.0,ok
medium_ctx1024_ckpt2,medium,24,1024,1,bf16_autocast_fp32_params,2,False,3,5,"[92.76518249511719, 93.72988891601562, 94.1322250366211, 90.71920013427734, 100.17279815673828]",93.72988891601562,6197.22314453125,6438.0,ok
medium_ctx1024_ckpt4,medium,24,1024,1,bf16_autocast_fp32_params,4,False,3,5,"[87.03081512451172, 87.0307846069336, 85.70342254638672, 86.42355346679688, 85.6962890625]",86.42355346679688,6197.22314453125,6406.0,ok
medium_ctx1024_ckpt8,medium,24,1024,1,bf16_autocast_fp32_params,8,False,3,5,"[83.11603546142578, 80.0910415649414, 82.6398696899414, 82.44735717773438, 81.04243469238281]",82.44735717773438,6197.22314453125,6366.0,ok
medium_ctx2048_ckptnone,medium,24,2048,1,bf16_autocast_fp32_params,,False,3,5,"[76.99967956542969, 77.07135772705078, 76.9617919921875, 76.79593658447266, 76.77542114257812]",76.9617919921875,6716.7392578125,6834.0,ok
medium_ctx2048_ckpt1,medium,24,2048,1,bf16_autocast_fp32_params,1,False,3,5,"[106.7336654663086, 103.75759887695312, 103.15776062011719, 106.31986999511719, 105.47209930419922]",105.47209930419922,6218.17626953125,6390.0,ok
