run,stage,calls,cpu_wall_sum_ms,cpu_wall_median_ms,cuda_device_event_count,cuda_device_time_sum_ms,cuda_device_elapsed_ms
medium_ctx1024_bf16,attention/scores,24,5.698084,0.23399150000000002,144,3.283897000000001,53.6830341796875
medium_ctx1024_bf16,attention/softmax,24,1.7529039999999998,0.067828,48,5.715505000000001,53.535416015625
medium_ctx1024_bf16,attention/value,24,2.412386,0.0990415,48,2.5559139999999996,53.403606201171876
medium_ctx1024_bf16,backward,1,108.09737,108.09737,2867,46.56744500000003,107.75122680664063
medium_ctx1024_bf16,forward,1,57.127936999999996,57.127936999999996,1525,23.50817400000007,56.68164086914062
medium_ctx1024_bf16,optimizer,1,7.130714,7.130714,168,41.006366,41.11666381835938
medium_ctx1024_bf16,profile/measure,1,209.61472899999998,209.61472899999998,4561,111.08320099999963,207.37368896484375
medium_ctx256_bf16,attention/scores,24,5.927956,0.244792,144,0.3097299999999999,55.552876953125
medium_ctx256_bf16,attention/softmax,24,1.810341,0.070627,48,0.18176500000000004,55.41969213867188
medium_ctx256_bf16,attention/value,24,2.3924740000000004,0.09612,48,0.15088300000000004,55.5451650390625
medium_ctx256_bf16,backward,1,109.338058,109.338058,2962,16.561951000000004,108.980123046875
medium_ctx256_bf16,forward,1,59.48638,59.48638,1645,7.168997999999963,58.8883818359375
medium_ctx256_bf16,optimizer,1,7.162064,7.162064,168,40.776497000000006,41.019192138671876
medium_ctx256_bf16,profile/measure,1,213.09206400000002,213.09206400000002,4776,64.50872599999978,210.91489599609375
medium_ctx512_bf16,attention/scores,24,5.818302999999999,0.23601149999999999,144,0.6937989999999999,54.30554614257812
medium_ctx512_bf16,attention/softmax,24,1.7998519999999998,0.0696755,48,0.5675589999999999,54.16746411132812
medium_ctx512_bf16,attention/value,24,2.28619,0.091582,48,0.333928,54.15645483398438
medium_ctx512_bf16,backward,1,109.871483,109.871483,2817,22.469094000000023,109.6257939453125
medium_ctx512_bf16,forward,1,58.029529000000004,58.029529000000004,1525,9.933364000000024,57.4283759765625
medium_ctx512_bf16,optimizer,1,7.2074620000000005,7.2074620000000005,168,41.047324,41.15613305664063
medium_ctx512_bf16,profile/measure,1,212.300622,212.300622,4511,73.45170199999997,210.0895939941406
small_ctx1024_bf16,attention/scores,12,3.0762670000000005,0.248191,72,1.1573919999999998,27.228421142578124
small_ctx1024_bf16,attention/softmax,12,0.864969,0.0696415,24,1.5230319999999997,27.129028076171874
small_ctx1024_bf16,attention/value,12,1.198835,0.0940255,24,0.6342800000000002,27.05875390625
small_ctx1024_bf16,backward,1,54.938875,54.938875,1523,16.708782000000014,54.82990283203125
small_ctx1024_bf16,forward,1,32.883562,32.883562,781,7.741414,30.495668212890624
small_ctx1024_bf16,optimizer,1,3.861767,3.861767,56,12.461041000000003,12.497106201171874
small_ctx1024_bf16,profile/measure,1,102.846587,102.846587,2361,36.91257999999986,98.89299609375
small_ctx256_bf16,attention/scores,12,3.0055520000000002,0.23952400000000001,72,0.13100399999999998,27.1324609375
small_ctx256_bf16,attention/softmax,12,0.843578,0.068908,24,0.07654800000000002,26.873320068359376
small_ctx256_bf16,attention/value,12,1.1903859999999997,0.094199,24,0.07213000000000001,26.999947021484374
small_ctx256_bf16,backward,1,58.585071000000006,58.585071000000006,1498,6.078453000000013,58.30392895507813
small_ctx256_bf16,forward,1,32.756527999999996,32.756527999999996,829,2.7570130000000024,30.439265869140623
small_ctx256_bf16,optimizer,1,3.99627,3.99627,56,12.464197,12.4987900390625
small_ctx256_bf16,profile/measure,1,105.886909,105.886909,2384,21.300942999999982,102.57749389648437
small_ctx512_bf16,attention/scores,12,2.951752,0.23829250000000002,72,0.2841080000000001,27.037383056640625
small_ctx512_bf16,attention/softmax,12,0.846695,0.068268,24,0.21667499999999995,26.774594970703124
small_ctx512_bf16,attention/value,12,1.2731969999999997,0.0992945,24,0.150977,26.8961650390625
small_ctx512_bf16,backward,1,55.944375,55.944375,1498,8.308496000000025,55.79236010742188
small_ctx512_bf16,forward,1,32.549544999999995,32.549544999999995,781,3.7195649999999985,30.28565380859375
small_ctx512_bf16,optimizer,1,3.943271,3.943271,56,12.410033,12.44481982421875
small_ctx512_bf16,profile/measure,1,102.921493,102.921493,2336,24.439533999999973,99.68089794921875
