config_id,model_size,num_layers,context_length,batch_size,dtype,checkpoint_block_size,nested,warmup_steps,measurement_steps,step_time_ms_samples,step_time_ms_p50,peak_allocated_mib,peak_reserved_mib,status,error_type
no_ckpt_ctx1024,medium,24,1024,1,bf16_autocast_fp32_params,none,False,3,5,"[140.78928902745247, 137.59038597345352, 137.0987668633461, 140.03867655992508, 137.2373290359974]",137.59038597345352,10065.6572265625,10172.0,ok,
ckpt_b1_ctx1024,medium,24,1024,1,bf16_autocast_fp32_params,1,False,3,5,"[210.23470163345337, 228.61326858401299, 212.4103382229805, 217.48793125152588, 215.02523496747017]",215.02523496747017,8116.53564453125,8170.0,ok,
ckpt_b2_ctx1024,medium,24,1024,1,bf16_autocast_fp32_params,2,False,3,5,"[203.42520624399185, 206.71603456139565, 206.2908634543419, 216.2972167134285, 205.77425509691238]",206.2908634543419,8116.53564453125,8162.0,ok,
ckpt_b4_ctx1024,medium,24,1024,1,bf16_autocast_fp32_params,4,False,3,5,"[201.90108940005302, 201.98481902480125, 193.13960894942284, 200.334582477808, 204.6120949089527]",201.90108940005302,8117.47314453125,8220.0,ok,
ckpt_b8_ctx1024,medium,24,1024,1,bf16_autocast_fp32_params,8,False,3,5,"[193.64288449287415, 196.87138497829437, 193.6015971004963, 203.78336682915688, 194.31734085083008]",194.31734085083008,8117.47314453125,8178.0,ok,
no_ckpt_ctx2048,medium,24,2048,1,bf16_autocast_fp32_params,none,False,3,5,"[379.17517498135567, 379.1442885994911, 379.0978454053402, 379.20910120010376, 379.2535811662674]",379.17517498135567,19664.3876953125,20240.0,ok,
ckpt_b1_ctx2048,medium,24,2048,1,bf16_autocast_fp32_params,1,False,3,5,"[483.2378104329109, 482.6856404542923, 482.56194964051247, 482.5627766549587, 482.52153396606445]",482.5627766549587,8134.92626953125,9690.0,ok,
